id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,efesios,1,1,Salutación,"Pablo, apóstol de Jesucristo por la voluntad de Dios, a los santos y fieles en Cristo Jesús que están en Efeso:",efesios_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
2,efesios,1,2,Salutación,"Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo.",efesios_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
3,efesios,1,3,Bendiciones espirituales en Cristo,"Bendito sea el Dios y Padre de nuestro Señor Jesucristo, que nos bendijo con toda bendición espiritual en los lugares celestiales en Cristo,",efesios_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
4,efesios,1,4,Bendiciones espirituales en Cristo,"según nos escogió en él antes de la fundación del mundo, para que fuésemos santos y sin mancha delante de él,",efesios_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
5,efesios,1,5,Bendiciones espirituales en Cristo,"en amor habiéndonos predestinado para ser adoptados hijos suyos por medio de Jesucristo, según el puro afecto de su voluntad,",efesios_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
6,efesios,1,6,Bendiciones espirituales en Cristo,"para alabanza de la gloria de su gracia, con la cual nos hizo aceptos en el Amado,",efesios_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
7,efesios,1,7,Bendiciones espirituales en Cristo,"en quien tenemos redención por su sangre, el perdón de pecados según las riquezas de su gracia,",efesios_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
8,efesios,1,8,Bendiciones espirituales en Cristo,"que hizo sobreabundar para con nosotros en toda sabiduría e inteligencia,",efesios_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
9,efesios,1,9,Bendiciones espirituales en Cristo,"dándonos a conocer el misterio de su voluntad, según su beneplácito, el cual se había propuesto en sí mismo,",efesios_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
10,efesios,1,10,Bendiciones espirituales en Cristo,"de reunir todas las cosas en Cristo, en la dispensación del cumplimiento de los tiempos, así las que están en los cielos, como las que están en la tierra.",efesios_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
11,efesios,1,11,Bendiciones espirituales en Cristo,"En él asimismo tuvimos herencia, habiendo sido predestinados conforme al propósito del que hace todas las cosas según el designio de su voluntad,",efesios_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
12,efesios,1,12,Bendiciones espirituales en Cristo,"a fin de que seamos para alabanza de su gloria, nosotros los que primeramente esperábamos en Cristo.",efesios_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
13,efesios,1,13,Bendiciones espirituales en Cristo,"En él también vosotros, habiendo oído la palabra de verdad, el evangelio de vuestra salvación, y habiendo creído en él, fuisteis sellados con el Espíritu Santo de la promesa,",efesios_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
14,efesios,1,14,Bendiciones espirituales en Cristo,"que es las arras de nuestra herencia hasta la redención de la posesión adquirida, para alabanza de su gloria.",efesios_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
15,efesios,1,15,El espíritu de sabiduría y de revelación,"Por esta causa también yo, habiendo oído de vuestra fe en el Señor Jesús, y de vuestro amor para con todos los santos,",efesios_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
16,efesios,1,16,El espíritu de sabiduría y de revelación,"no ceso de dar gracias por vosotros, haciendo memoria de vosotros en mis oraciones,",efesios_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
17,efesios,1,17,El espíritu de sabiduría y de revelación,"para que el Dios de nuestro Señor Jesucristo, el Padre de gloria, os dé espíritu de sabiduría y de revelación en el conocimiento de él,",efesios_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
18,efesios,1,18,El espíritu de sabiduría y de revelación,"alumbrando los ojos de vuestro entendimiento, para que sepáis cuál es la esperanza a que él os ha llamado, y cuáles las riquezas de la gloria de su herencia en los santos,",efesios_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
19,efesios,1,19,El espíritu de sabiduría y de revelación,"y cuál la supereminente grandeza de su poder para con nosotros los que creemos, según la operación del poder de su fuerza,",efesios_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
20,efesios,1,20,El espíritu de sabiduría y de revelación,"la cual operó en Cristo, resucitándole de los muertos y sentándole a su diestra en los lugares celestiales,",efesios_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
21,efesios,1,21,El espíritu de sabiduría y de revelación,"sobre todo principado y autoridad y poder y señorío, y sobre todo nombre que se nombra, no sólo en este siglo, sino también en el venidero;",efesios_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
22,efesios,1,22,El espíritu de sabiduría y de revelación,"y sometió todas las cosas bajo sus pies, y lo dio por cabeza sobre todas las cosas a la iglesia,",efesios_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
23,efesios,1,23,El espíritu de sabiduría y de revelación,"la cual es su cuerpo, la plenitud de Aquel que todo lo llena en todo.",efesios_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60,,
24,efesios,2,1,Salvos por gracia,"Y él os dio vida a vosotros, cuando estabais muertos en vuestros delitos y pecados,",efesios_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60,,
