"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","filipenses","1","1","Salutación","Pablo y Timoteo, siervos de Jesucristo, a todos los santos en Cristo Jesús que están en Filipos, con los obispos y diáconos:","filipenses_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"2","filipenses","1","2","Salutación","Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo.","filipenses_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"3","filipenses","1","3","Oración de Pablo por los creyentes","Doy gracias a mi Dios siempre que me acuerdo de vosotros,","filipenses_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"4","filipenses","1","4","Oración de Pablo por los creyentes","siempre en todas mis oraciones rogando con gozo por todos vosotros,","filipenses_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"5","filipenses","1","5","Oración de Pablo por los creyentes","por vuestra comunión en el evangelio, desde el primer día hasta ahora;","filipenses_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"6","filipenses","1","6","Oración de Pablo por los creyentes","estando persuadido de esto, que el que comenzó en vosotros la buena obra, la perfeccionará hasta el día de Jesucristo;","filipenses_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"7","filipenses","1","7","Oración de Pablo por los creyentes","como me es justo sentir esto de todos vosotros, por cuanto os tengo en el corazón; y en mis prisiones, y en la defensa y confirmación del evangelio, todos vosotros sois participantes conmigo de la gracia.","filipenses_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"8","filipenses","1","8","Oración de Pablo por los creyentes","Porque Dios me es testigo de cómo os amo a todos vosotros con el entrañable amor de Jesucristo.","filipenses_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"9","filipenses","1","9","Oración de Pablo por los creyentes","Y esto pido en oración, que vuestro amor abunde aun más y más en ciencia y en todo conocimiento,","filipenses_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"10","filipenses","1","10","Oración de Pablo por los creyentes","para que aprobéis lo mejor, a fin de que seáis sinceros e irreprensibles para el día de Cristo,","filipenses_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"11","filipenses","1","11","Oración de Pablo por los creyentes","llenos de frutos de justicia que son por medio de Jesucristo, para gloria y alabanza de Dios.","filipenses_1_11","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"12","filipenses","1","12","Para mí el vivir es Cristo","Quiero que sepáis, hermanos, que las cosas que me han sucedido, han redundado más bien para el progreso del evangelio,","filipenses_1_12","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
"13","filipenses","1","13","Para mí el vivir es Cristo","de tal manera que mis prisiones se han hecho patentes en Cristo en todo el pretorio, y a todos los demás.","filipenses_1_13","https://www.biblia.es/biblia-buscar-libros-1.php?libro=filipenses&capitulo=1&version=rv60","",""
