"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","colosenses","1","1","Salutación","Pablo, apóstol de Jesucristo por la voluntad de Dios, y el hermano Timoteo,","colosenses_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"2","colosenses","1","2","Salutación","a los santos y fieles hermanos en Cristo que están en Colosas: Gracia y paz sean a vosotros, de Dios nuestro Padre y del Señor Jesucristo.","colosenses_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"3","colosenses","1","3","Pablo pide que Dios les conceda sabiduría espiritual","Siempre orando por vosotros, damos gracias a Dios, Padre de nuestro Señor Jesucristo,","colosenses_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"4","colosenses","1","4","Pablo pide que Dios les conceda sabiduría espiritual","habiendo oído de vuestra fe en Cristo Jesús, y del amor que tenéis a todos los santos,","colosenses_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"5","colosenses","1","5","Pablo pide que Dios les conceda sabiduría espiritual","a causa de la esperanza que os está guardada en los cielos, de la cual ya habéis oído por la palabra verdadera del evangelio,","colosenses_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"6","colosenses","1","6","Pablo pide que Dios les conceda sabiduría espiritual","que ha llegado hasta vosotros, así como a todo el mundo, y lleva fruto y crece también en vosotros, desde el día que oísteis y conocisteis la gracia de Dios en verdad,","colosenses_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"7","colosenses","1","7","Pablo pide que Dios les conceda sabiduría espiritual","como lo habéis aprendido de Epafras, nuestro consiervo amado, que es un fiel ministro de Cristo para vosotros,","colosenses_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"8","colosenses","1","8","Pablo pide que Dios les conceda sabiduría espiritual","quien también nos ha declarado vuestro amor en el Espíritu.","colosenses_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"9","colosenses","1","9","Pablo pide que Dios les conceda sabiduría espiritual","Por lo cual también nosotros, desde el día que lo oímos, no cesamos de orar por vosotros, y de pedir que seáis llenos del conocimiento de su voluntad en toda sabiduría e inteligencia espiritual,","colosenses_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"10","colosenses","1","10","Pablo pide que Dios les conceda sabiduría espiritual","para que andéis como es digno del Señor, agradándole en todo, llevando fruto en toda buena obra, y creciendo en el conocimiento de Dios;","colosenses_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"11","colosenses","1","11","Pablo pide que Dios les conceda sabiduría espiritual","fortalecidos con todo poder, conforme a la potencia de su gloria, para toda paciencia y longanimidad;","colosenses_1_11","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"12","colosenses","1","12","Pablo pide que Dios les conceda sabiduría espiritual","con gozo dando gracias al Padre que nos hizo aptos para participar de la herencia de los santos en luz;","colosenses_1_12","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"13","colosenses","1","13","Pablo pide que Dios les conceda sabiduría espiritual","el cual nos ha librado de la potestad de las tinieblas, y trasladado al reino de su amado Hijo,","colosenses_1_13","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"14","colosenses","1","14","Pablo pide que Dios les conceda sabiduría espiritual","en quien tenemos redención por su sangre, el perdón de pecados.","colosenses_1_14","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"15","colosenses","1","15","Reconciliación por medio de la muerte de Cristo","El es la imagen del Dios invisible, el primogénito de toda creación.","colosenses_1_15","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"16","colosenses","1","16","Reconciliación por medio de la muerte de Cristo","Porque en él fueron creadas todas las cosas, las que hay en los cielos y las que hay en la tierra, visibles e invisibles; sean tronos, sean dominios, sean principados, sean potestades; todo fue creado por medio de él y para él.","colosenses_1_16","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"17","colosenses","1","17","Reconciliación por medio de la muerte de Cristo","Y él es antes de todas las cosas, y todas las cosas en él subsisten;","colosenses_1_17","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"18","colosenses","1","18","Reconciliación por medio de la muerte de Cristo","y él es la cabeza del cuerpo que es la iglesia, él que es el principio, el primogénito de entre los muertos, para que en todo tenga la preeminencia;","colosenses_1_18","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"19","colosenses","1","19","Reconciliación por medio de la muerte de Cristo","por cuanto agradó al Padre que en él habitase toda plenitud,","colosenses_1_19","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"20","colosenses","1","20","Reconciliación por medio de la muerte de Cristo","y por medio de él reconciliar consigo todas las cosas, así las que están en la tierra como las que están en los cielos, haciendo la paz mediante la sangre de su cruz.","colosenses_1_20","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"21","colosenses","1","21","Reconciliación por medio de la muerte de Cristo","Y a vosotros también, que erais en otro tiempo extraños y enemigos en vuestra mente, haciendo malas obras, ahora os ha reconciliado","colosenses_1_21","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"22","colosenses","1","22","Reconciliación por medio de la muerte de Cristo","en su cuerpo de carne, por medio de la muerte, para presentaros santos y sin mancha e irreprensibles delante de él;","colosenses_1_22","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"23","colosenses","1","23","Reconciliación por medio de la muerte de Cristo","si en verdad permanecéis fundados y firmes en la fe, y sin moveros de la esperanza del evangelio que habéis oído, el cual se predica en toda la creación que está debajo del cielo; del cual yo Pablo fui hecho ministro.","colosenses_1_23","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"24","colosenses","1","24","Ministerio de Pablo a los gentiles","Ahora me gozo en lo que padezco por vosotros, y cumplo en mi carne lo que falta de las aflicciones de Cristo por su cuerpo, que es la iglesia;","colosenses_1_24","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"25","colosenses","1","25","Ministerio de Pablo a los gentiles","de la cual fui hecho ministro, según la administración de Dios que me fue dada para con vosotros, para que anuncie cumplidamente la palabra de Dios,","colosenses_1_25","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"26","colosenses","1","26","Ministerio de Pablo a los gentiles","el misterio que había estado oculto desde los siglos y edades, pero que ahora ha sido manifestado a sus santos,","colosenses_1_26","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"27","colosenses","1","27","Ministerio de Pablo a los gentiles","a quienes Dios quiso dar a conocer las riquezas de la gloria de este misterio entre los gentiles; que es Cristo en vosotros, la esperanza de gloria,","colosenses_1_27","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"28","colosenses","1","28","Ministerio de Pablo a los gentiles","a quien anunciamos, amonestando a todo hombre, y enseñando a todo hombre en toda sabiduría, a fin de presentar perfecto en Cristo Jesús a todo hombre;","colosenses_1_28","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"29","colosenses","1","29","Ministerio de Pablo a los gentiles","para lo cual también trabajo, luchando según la potencia de él, la cual actúa poderosamente en mí.","colosenses_1_29","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60","",""
"30","colosenses","2","1","","Porque quiero que sepáis cuán gran lucha sostengo por vosotros, y por los que están en Laodicea, y por todos los que nunca han visto mi rostro;","colosenses_2_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"31","colosenses","2","2","","para que sean consolados sus corazones, unidos en amor, hasta alcanzar todas las riquezas de pleno entendimiento, a fin de conocer el misterio de Dios el Padre, y de Cristo,","colosenses_2_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"32","colosenses","2","3","","en quien están escondidos todos los tesoros de la sabiduría y del conocimiento.","colosenses_2_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"33","colosenses","2","4","","Y esto lo digo para que nadie os engañe con palabras persuasivas.","colosenses_2_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"34","colosenses","2","5","","Porque aunque estoy ausente en cuerpo, no obstante en espíritu estoy con vosotros, gozándome y mirando vuestro buen orden y la firmeza de vuestra fe en Cristo.","colosenses_2_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"35","colosenses","2","6","","Por tanto, de la manera que habéis recibido al Señor Jesucristo, andad en él;","colosenses_2_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"36","colosenses","2","7","","arraigados y sobreedificados en él, y confirmados en la fe, así como habéis sido enseñados, abundando en acciones de gracias.","colosenses_2_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
"37","colosenses","2","8","Plenitud de vida en Cristo","Mirad que nadie os engañe por medio de filosofías y huecas sutilezas, según las tradiciones de los hombres, conforme a los rudimentos del mundo, y no según Cristo.","colosenses_2_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=2&version=rv60","",""
