id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,santiago,1,1,Salutación,"Santiago, siervo de Dios y del Señor Jesucristo, a las doce tribus que están en la dispersión: Salud.",santiago_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
2,santiago,1,2,La sabiduría que viene de Dios,"Hermanos míos, tened por sumo gozo cuando os halléis en diversas pruebas,",santiago_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
3,santiago,1,3,La sabiduría que viene de Dios,sabiendo que la prueba de vuestra fe produce paciencia.,santiago_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
4,santiago,1,4,La sabiduría que viene de Dios,"Mas tenga la paciencia su obra completa, para que seáis perfectos y cabales, sin que os falte cosa alguna.",santiago_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
5,santiago,1,5,La sabiduría que viene de Dios,"Y si alguno de vosotros tiene falta de sabiduría, pídala a Dios, el cual da a todos abundantemente y sin reproche, y le será dada.",santiago_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
6,santiago,1,6,La sabiduría que viene de Dios,"Pero pida con fe, no dudando nada; porque el que duda es semejante a la onda del mar, que es arrastrada por el viento y echada de una parte a otra.",santiago_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
7,santiago,1,7,La sabiduría que viene de Dios,"No piense, pues, quien tal haga, que recibirá cosa alguna del Señor.",santiago_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
8,santiago,1,8,La sabiduría que viene de Dios,El hombre de doble ánimo es inconstante en todos sus caminos.,santiago_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
9,santiago,1,9,La sabiduría que viene de Dios,"El hermano que es de humilde condición, gloríese en su exaltación;",santiago_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
10,santiago,1,10,La sabiduría que viene de Dios,"pero el que es rico, en su humillación; porque él pasará como la flor de la hierba.",santiago_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=santiago&capitulo=1&version=rv60,,
