id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,1-pedro,1,1,Salutación,"Pedro, apóstol de Jesucristo, a los expatriados de la dispersión en el Ponto, Galacia, Capadocia, Asia y Bitinia,",1-pedro_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
2,1-pedro,1,2,Salutación,"elegidos según la presciencia de Dios Padre en santificación del Espíritu, para obedecer y ser rociados con la sangre de Jesucristo: Gracia y paz os sean multiplicadas.",1-pedro_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
3,1-pedro,1,3,Una esperanza viva,"Bendito el Dios y Padre de nuestro Señor Jesucristo, que según su grande misericordia nos hizo renacer para una esperanza viva, por la resurrección de Jesucristo de los muertos,",1-pedro_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
4,1-pedro,1,4,Una esperanza viva,"para una herencia incorruptible, incontaminada e inmarcesible, reservada en los cielos para vosotros,",1-pedro_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
5,1-pedro,1,5,Una esperanza viva,"que sois guardados por el poder de Dios mediante la fe, para alcanzar la salvación que está preparada para ser manifestada en el tiempo postrero.",1-pedro_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
6,1-pedro,1,6,Una esperanza viva,"En lo cual vosotros os alegráis, aunque ahora por un poco de tiempo, si es necesario, tengáis que ser afligidos en diversas pruebas,",1-pedro_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
7,1-pedro,1,7,Una esperanza viva,"para que sometida a prueba vuestra fe, mucho más preciosa que el oro, el cual aunque perecedero se prueba con fuego, sea hallada en alabanza, gloria y honra cuando sea manifestado Jesucristo,",1-pedro_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
8,1-pedro,1,8,Una esperanza viva,"a quien amáis sin haberle visto, en quien creyendo, aunque ahora no lo veáis, os alegráis con gozo inefable y glorioso;",1-pedro_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
9,1-pedro,1,9,Una esperanza viva,"obteniendo el fin de vuestra fe, que es la salvación de vuestras almas.",1-pedro_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
10,1-pedro,1,10,Una esperanza viva,"Los profetas que profetizaron de la gracia destinada a vosotros, inquirieron y diligentemente indagaron acerca de esta salvación,",1-pedro_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
11,1-pedro,1,11,Una esperanza viva,"escudriñando qué persona y qué tiempo indicaba el Espíritu de Cristo que estaba en ellos, el cual anunciaba de antemano los sufrimientos de Cristo, y las glorias que vendrían tras ellos.",1-pedro_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-pedro&capitulo=1&version=rv60,,
