"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","3-juan","1","1","Salutación","El anciano a Gayo, el amado, a quien amo en la verdad.","3-juan_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"2","3-juan","1","2","Salutación","Amado, yo deseo que tú seas prosperado en todas las cosas, y que tengas salud, así como prospera tu alma.","3-juan_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"3","3-juan","1","3","Salutación","Pues mucho me regocijé cuando vinieron los hermanos y dieron testimonio de tu verdad, de cómo andas en la verdad.","3-juan_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"4","3-juan","1","4","Salutación","No tengo yo mayor gozo que este, el oír que mis hijos andan en la verdad.","3-juan_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"5","3-juan","1","5","Elogio de la hospitalidad de Gayo","Amado, fielmente te conduces cuando prestas algún servicio a los hermanos, especialmente a los desconocidos,","3-juan_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"6","3-juan","1","6","Elogio de la hospitalidad de Gayo","los cuales han dado ante la iglesia testimonio de tu amor; y harás bien en encaminarlos como es digno de su servicio a Dios, para que continúen su viaje.","3-juan_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"7","3-juan","1","7","Elogio de la hospitalidad de Gayo","Porque ellos salieron por amor del nombre de El, sin aceptar nada de los gentiles.","3-juan_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"8","3-juan","1","8","Elogio de la hospitalidad de Gayo","Nosotros, pues, debemos acoger a tales personas, para que cooperemos con la verdad.","3-juan_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"9","3-juan","1","9","La oposición de Diótrefes","Yo he escrito a la iglesia; pero Diótrefes, al cual le gusta tener el primer lugar entre ellos, no nos recibe.","3-juan_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"10","3-juan","1","10","La oposición de Diótrefes","Por esta causa, si yo fuere, recordaré las obras que hace parloteando con palabras malignas contra nosotros; y no contento con estas cosas, no recibe a los hermanos, y a los que quieren recibirlos se lo prohibe, y los expulsa de la iglesia.","3-juan_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"11","3-juan","1","11","Buen testimonio acerca de Demetrio","Amado, no imites lo malo, sino lo bueno. El que hace lo bueno es de Dios; pero el que hace lo malo, no ha visto a Dios.","3-juan_1_11","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"12","3-juan","1","12","Buen testimonio acerca de Demetrio","Todos dan testimonio de Demetrio, y aun la verdad misma; y también nosotros damos testimonio, y vosotros sabéis que nuestro testimonio es verdadero.","3-juan_1_12","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"13","3-juan","1","13","Salutaciones finales","Yo tenía muchas cosas que escribirte, pero no quiero escribírtelas con tinta y pluma,","3-juan_1_13","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"14","3-juan","1","14","Salutaciones finales","porque espero verte en breve, y hablaremos cara a cara.","3-juan_1_14","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
"15","3-juan","1","15","Salutaciones finales","La paz sea contigo. Los amigos te saludan. Saluda tú a los amigos, a cada uno en particular.","3-juan_1_15","https://www.biblia.es/biblia-buscar-libros-1.php?libro=3-juan&capitulo=1&version=rv60","",""
