id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,1-samuel,1,1,Nacimiento de Samuel,"Hubo un varón de Ramataim de Zofim, del monte de Efraín, que se llamaba Elcana hijo de Jeroham, hijo de Eliú, hijo de Tohu, hijo de Zuf, efrateo.",1-samuel_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
2,1-samuel,1,2,Nacimiento de Samuel,"Y tenía él dos mujeres; el nombre de una era Ana, y el de la otra, Penina. Y Penina tenía hijos, mas Ana no los tenía.",1-samuel_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
3,1-samuel,1,3,Nacimiento de Samuel,"Y todos los años aquel varón subía de su ciudad para adorar y para ofrecer sacrificios a Jehová de los ejércitos en Silo, donde estaban dos hijos de Elí, Ofni y Finees, sacerdotes de Jehová.",1-samuel_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
4,1-samuel,1,4,Nacimiento de Samuel,"Y cuando llegaba el día en que Elcana ofrecía sacrificio, daba a Penina su mujer, a todos sus hijos y a todas sus hijas, a cada uno su parte.",1-samuel_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
5,1-samuel,1,5,Nacimiento de Samuel,"Pero a Ana daba una parte escogida; porque amaba a Ana, aunque Jehová no le había concedido tener hijos.",1-samuel_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
6,1-samuel,1,6,Nacimiento de Samuel,"Y su rival la irritaba, enojándola y entristeciéndola, porque Jehová no le había concedido tener hijos.",1-samuel_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
7,1-samuel,1,7,Nacimiento de Samuel,"Así hacía cada año; cuando subía a la casa de Jehová, la irritaba así; por lo cual Ana lloraba, y no comía.",1-samuel_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
8,1-samuel,1,8,Nacimiento de Samuel,"Y Elcana su marido le dijo: Ana, ¿por qué lloras? ¿por qué no comes? ¿y por qué está afligido tu corazón? ¿No te soy yo mejor que diez hijos?",1-samuel_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
9,1-samuel,1,9,Nacimiento de Samuel,"Y se levantó Ana después que hubo comido y bebido en Silo; y mientras el sacerdote Elí estaba sentado en una silla junto a un pilar del templo de Jehová,",1-samuel_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
10,1-samuel,1,10,Nacimiento de Samuel,"ella con amargura de alma oró a Jehová, y lloró abundantemente.",1-samuel_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
11,1-samuel,1,11,Nacimiento de Samuel,"E hizo voto, diciendo: Jehová de los ejércitos, si te dignares mirar a la aflicción de tu sierva, y te acordares de mí, y no te olvidares de tu sierva, sino que dieres a tu sierva un hijo varón, yo lo dedicaré a Jehová todos los días de su vida, y no pasará navaja sobre su cabeza.",1-samuel_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
12,1-samuel,1,12,Nacimiento de Samuel,"Mientras ella oraba largamente delante de Jehová, Elí estaba observando la boca de ella.",1-samuel_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
13,1-samuel,1,13,Nacimiento de Samuel,"Pero Ana hablaba en su corazón, y solamente se movían sus labios, y su voz no se oía; y Elí la tuvo por ebria.",1-samuel_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
14,1-samuel,1,14,Nacimiento de Samuel,Entonces le dijo Elí: ¿Hasta cuándo estarás ebria? Digiere tu vino.,1-samuel_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
15,1-samuel,1,15,Nacimiento de Samuel,"Y Ana le respondió diciendo: No, señor mío; yo soy una mujer atribulada de espíritu; no he bebido vino ni sidra, sino que he derramado mi alma delante de Jehová.",1-samuel_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
16,1-samuel,1,16,Nacimiento de Samuel,No tengas a tu sierva por una mujer impía; porque por la magnitud de mis congojas y de mi aflicción he hablado hasta ahora.,1-samuel_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
17,1-samuel,1,17,Nacimiento de Samuel,"Elí respondió y dijo: Ve en paz, y el Dios de Israel te otorgue la petición que le has hecho.",1-samuel_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
18,1-samuel,1,18,Nacimiento de Samuel,"Y ella dijo: Halle tu sierva gracia delante de tus ojos. Y se fue la mujer por su camino, y comió, y no estuvo más triste.",1-samuel_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
19,1-samuel,1,19,Nacimiento de Samuel,"Y levantándose de mañana, adoraron delante de Jehová, y volvieron y fueron a su casa en Ramá. Y Elcana se llegó a Ana su mujer, y Jehová se acordó de ella.",1-samuel_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
20,1-samuel,1,20,Nacimiento de Samuel,"Aconteció que al cumplirse el tiempo, después de haber concebido Ana, dio a luz un hijo, y le puso por nombre Samuel, diciendo: Por cuanto lo pedí a Jehová.",1-samuel_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
21,1-samuel,1,21,Nacimiento de Samuel,"Después subió el varón Elcana con toda su familia, para ofrecer a Jehová el sacrificio acostumbrado y su voto.",1-samuel_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
22,1-samuel,1,22,Nacimiento de Samuel,"Pero Ana no subió, sino dijo a su marido: Yo no subiré hasta que el niño sea destetado, para que lo lleve y sea presentado delante de Jehová, y se quede allá para siempre.",1-samuel_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
23,1-samuel,1,23,Nacimiento de Samuel,"Y Elcana su marido le respondió: Haz lo que bien te parezca; quédate hasta que lo destetes; solamente que cumpla Jehová su palabra. Y se quedó la mujer, y crió a su hijo hasta que lo destetó.",1-samuel_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
24,1-samuel,1,24,Nacimiento de Samuel,"Después que lo hubo destetado, lo llevó consigo, con tres becerros, un efa de harina, y una vasija de vino, y lo trajo a la casa de Jehová en Silo; y el niño era pequeño.",1-samuel_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
25,1-samuel,1,25,Nacimiento de Samuel,"Y matando el becerro, trajeron el niño a Elí.",1-samuel_1_25,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
26,1-samuel,1,26,Nacimiento de Samuel,"Y ella dijo: ¡Oh, señor mío! Vive tu alma, señor mío, yo soy aquella mujer que estuvo aquí junto a ti orando a Jehová.",1-samuel_1_26,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
27,1-samuel,1,27,Nacimiento de Samuel,"Por este niño oraba, y Jehová me dio lo que le pedí.",1-samuel_1_27,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
28,1-samuel,1,28,Nacimiento de Samuel,"Yo, pues, lo dedico también a Jehová; todos los días que viva, será de Jehová. Y adoró allí a Jehová.",1-samuel_1_28,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60,,
29,1-samuel,2,1,Cántico de Ana,"Y Ana oró y dijo:Mi corazón se regocija en Jehová,Mi poder se exalta en Jehová;Mi boca se ensanchó sobre mis enemigos,Por cuanto me alegré en tu salvación.",1-samuel_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
30,1-samuel,2,2,Cántico de Ana,"No hay santo como Jehová;Porque no hay ninguno fuera de ti,Y no hay refugio como el Dios nuestro.",1-samuel_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
31,1-samuel,2,3,Cántico de Ana,"No multipliquéis palabras de grandeza y altanería;Cesen las palabras arrogantes de vuestra boca;Porque el Dios de todo saber es Jehová,Y a él toca el pesar las acciones.",1-samuel_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
32,1-samuel,2,4,Cántico de Ana,"Los arcos de los fuertes fueron quebrados,Y los débiles se ciñeron de poder.",1-samuel_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
33,1-samuel,2,5,Cántico de Ana,"Los saciados se alquilaron por pan,Y los hambrientos dejaron de tener hambre;Hasta la estéril ha dado a luz siete,Y la que tenía muchos hijos languidece.",1-samuel_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
34,1-samuel,2,6,Cántico de Ana,"Jehová mata, y él da vida;El hace descender al Seol, y hace subir.",1-samuel_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
35,1-samuel,2,7,Cántico de Ana,"Jehová empobrece, y él enriquece;Abate, y enaltece.",1-samuel_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
36,1-samuel,2,8,Cántico de Ana,"El levanta del polvo al pobre,Y del muladar exalta al menesteroso,Para hacerle sentarse con príncipes y heredar un sitio de honor.Porque de Jehová son las columnas de la tierra,Y él afirmó sobre ellas el mundo.",1-samuel_2_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
37,1-samuel,2,9,Cántico de Ana,"El guarda los pies de sus santos,Mas los impíos perecen en tinieblas;Porque nadie será fuerte por su propia fuerza.",1-samuel_2_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
38,1-samuel,2,10,Cántico de Ana,"Delante de Jehová serán quebrantados sus adversarios,Y sobre ellos tronará desde los cielos;Jehová juzgará los confines de la tierra,Dará poder a su Rey,Y exaltará el poderío de su Ungido.",1-samuel_2_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
39,1-samuel,2,11,Cántico de Ana,Y Elcana se volvió a su casa en Ramá; y el niño ministraba a Jehová delante del sacerdote Elí.,1-samuel_2_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
40,1-samuel,2,12,El pecado de los hijos de Elí,"Los hijos de Elí eran hombres impíos, y no tenían conocimiento de Jehová.",1-samuel_2_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
41,1-samuel,2,13,El pecado de los hijos de Elí,"Y era costumbre de los sacerdotes con el pueblo, que cuando alguno ofrecía sacrificio, venía el criado del sacerdote mientras se cocía la carne, trayendo en su mano un garfio de tres dientes,",1-samuel_2_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
42,1-samuel,2,14,El pecado de los hijos de Elí,"y lo metía en el perol, en la olla, en el caldero o en la marmita; y todo lo que sacaba el garfio, el sacerdote lo tomaba para sí. De esta manera hacían con todo israelita que venía a Silo.",1-samuel_2_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=2&version=rv60,,
