book,chapter,verse,subtitle,text,source_url
2_thessalonians,1,1,,"Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ:",https://github.com/seven1m/open-bibles
2_thessalonians,1,2,,"Grace unto you, and peace, from God our Father and the Lord Jesus Christ.",https://github.com/seven1m/open-bibles
2_thessalonians,1,3,,"We are bound to thank God always for you, brethren, as it is meet, because that your faith groweth exceedingly, and the charity of every one of you all toward each other aboundeth;",https://github.com/seven1m/open-bibles
2_thessalonians,1,4,,So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure:,https://github.com/seven1m/open-bibles
2_thessalonians,1,5,,"Which is a manifest token of the righteous judgment of God, that ye may be counted worthy of the kingdom of God, for which ye also suffer:",https://github.com/seven1m/open-bibles
2_thessalonians,1,6,,Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;,https://github.com/seven1m/open-bibles
2_thessalonians,1,7,,"And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels,",https://github.com/seven1m/open-bibles
2_thessalonians,1,8,,"In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:",https://github.com/seven1m/open-bibles
2_thessalonians,1,9,,"Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power;",https://github.com/seven1m/open-bibles
2_thessalonians,1,10,,"When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day.",https://github.com/seven1m/open-bibles
2_thessalonians,1,11,,"Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfil all the good pleasure of his goodness, and the work of faith with power:",https://github.com/seven1m/open-bibles
2_thessalonians,1,12,,"That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ.",https://github.com/seven1m/open-bibles
2_thessalonians,2,1,,"Now we beseech you, brethren, by the coming of our Lord Jesus Christ, and by our gathering together unto him,",https://github.com/seven1m/open-bibles
2_thessalonians,2,2,,"That ye be not soon shaken in mind, or be troubled, neither by spirit, nor by word, nor by letter as from us, as that the day of Christ is at hand.",https://github.com/seven1m/open-bibles
2_thessalonians,2,3,,"Let no man deceive you by any means: for that day shall not come, except there come a falling away first, and that man of sin be revealed, the son of perdition;",https://github.com/seven1m/open-bibles
2_thessalonians,2,4,,"Who opposeth and exalteth himself above all that is called God, or that is worshipped; so that he as God sitteth in the temple of God, shewing himself that he is God.",https://github.com/seven1m/open-bibles
2_thessalonians,2,5,,"Remember ye not, that, when I was yet with you, I told you these things?",https://github.com/seven1m/open-bibles
2_thessalonians,2,6,,And now ye know what withholdeth that he might be revealed in his time.,https://github.com/seven1m/open-bibles
2_thessalonians,2,7,,"For the mystery of iniquity doth already work: only he who now letteth will let, until he be taken out of the way.",https://github.com/seven1m/open-bibles
2_thessalonians,2,8,,"And then shall that Wicked be revealed, whom the Lord shall consume with the spirit of his mouth, and shall destroy with the brightness of his coming:",https://github.com/seven1m/open-bibles
2_thessalonians,2,9,,"Even him, whose coming is after the working of Satan with all power and signs and lying wonders,",https://github.com/seven1m/open-bibles
2_thessalonians,2,10,,"And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved.",https://github.com/seven1m/open-bibles
2_thessalonians,2,11,,"And for this cause God shall send them strong delusion, that they should believe a lie:",https://github.com/seven1m/open-bibles
2_thessalonians,2,12,,"That they all might be damned who believed not the truth, but had pleasure in unrighteousness.",https://github.com/seven1m/open-bibles
2_thessalonians,2,13,,"But we are bound to give thanks alway to God for you, brethren beloved of the Lord, because God hath from the beginning chosen you to salvation through sanctification of the Spirit and belief of the truth:",https://github.com/seven1m/open-bibles
2_thessalonians,2,14,,"Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ.",https://github.com/seven1m/open-bibles
2_thessalonians,2,15,,"Therefore, brethren, stand fast, and hold the traditions which ye have been taught, whether by word, or our epistle.",https://github.com/seven1m/open-bibles
2_thessalonians,2,16,,"Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace,",https://github.com/seven1m/open-bibles
