book,chapter,verse,subtitle,text,source_url
1-reyes,1,1,Abisag sirve a David,"Cuando el rey David era viejo y avanzado en días, le cubrían de ropas, pero no se calentaba. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,2,Abisag sirve a David,"Le dijeron, por tanto, sus siervos: Busquen para mi señor el rey una joven virgen, para que esté delante del rey y lo abrigue, y duerma a su lado, y entrará en calor mi señor el rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,3,Abisag sirve a David,"Y buscaron una joven hermosa por toda la tierra de Israel, y hallaron a Abisag sunamita, y la trajeron al rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,4,Abisag sirve a David,"Y la joven era hermosa; y ella abrigaba al rey, y le servía; pero el rey nunca la conoció. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,5,Adonías usurpa el trono,"Entonces Adonías hijo de Haguit se rebeló, diciendo: Yo reinaré. Y se hizo de carros y de gente de a caballo, y de cincuenta hombres que corriesen delante de él. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,6,Adonías usurpa el trono,"Y su padre nunca le había entristecido en todos sus días con decirle: ¿Por qué haces así? Además, éste era de muy hermoso parecer; y había nacido después de Absalón. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,7,Adonías usurpa el trono,"Y se había puesto de acuerdo con Joab hijo de Sarvia y con el sacerdote Abiatar, los cuales ayudaban a Adonías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,8,Adonías usurpa el trono,"Pero el sacerdote Sadoc, y Benaía hijo de Joiada, el profeta Natán, Simei, Rei y todos los grandes de David, no seguían a Adonías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,9,Adonías usurpa el trono,"Y matando Adonías ovejas y vacas y animales gordos junto a la peña de Zohelet, la cual está cerca de la fuente de Rogel, convidó a todos sus hermanos los hijos del rey, y a todos los varones de Judá, siervos del rey; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,10,Adonías usurpa el trono,"pero no convidó al profeta Natán, ni a Benaía, ni a los grandes, ni a Salomón su hermano. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,11,Adonías usurpa el trono,"Entonces habló Natán a Betsabé madre de Salomón, diciendo: ¿No has oído que reina Adonías hijo de Haguit, sin saberlo David nuestro señor? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,12,Adonías usurpa el trono,"Ven pues, ahora, y toma mi consejo, para que conserves tu vida, y la de tu hijo Salomón. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,13,Adonías usurpa el trono,"Ve y entra al rey David, y dile: Rey señor mío, ¿no juraste a tu sierva, diciendo: Salomón tu hijo reinará después de mí, y él se sentará en mi trono? ¿Por qué, pues, reina Adonías? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,14,Adonías usurpa el trono,"Y estando tú aún hablando con el rey, yo entraré tras ti y reafirmaré tus razones. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,15,Adonías usurpa el trono,"Entonces Betsabé entró a la cámara del rey; y el rey era muy viejo, y Abisag sunamita le servía. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,16,Adonías usurpa el trono,"Y Betsabé se inclinó, e hizo reverencia al rey. Y el rey dijo: ¿Qué tienes? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,17,Adonías usurpa el trono,"Y ella le respondió: Señor mío, tú juraste a tu sierva por Jehová tu Dios, diciendo: Salomón tu hijo reinará después de mí, y él se sentará en mi trono. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,18,Adonías usurpa el trono,"Y he aquí ahora Adonías reina, y tú, mi señor rey, hasta ahora no lo sabes. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,19,Adonías usurpa el trono,"Ha matado bueyes, y animales gordos, y muchas ovejas, y ha convidado a todos los hijos del rey, al sacerdote Abiatar, y a Joab general del ejército; mas a Salomón tu siervo no ha convidado. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,20,Adonías usurpa el trono,"Entre tanto, rey señor mío, los ojos de todo Israel están puestos en ti, para que les declares quién se ha de sentar en el trono de mi señor el rey después de él. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,21,Adonías usurpa el trono,"De otra manera sucederá que cuando mi señor el rey duerma con sus padres, yo y mi hijo Salomón seremos tenidos por culpables. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,22,Adonías usurpa el trono,"Mientras aún hablaba ella con el rey, he aquí vino el profeta Natán. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,23,Adonías usurpa el trono,"Y dieron aviso al rey, diciendo: He aquí el profeta Natán; el cual, cuando entró al rey, se postró delante del rey inclinando su rostro a tierra. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,24,Adonías usurpa el trono,"Y dijo Natán: Rey señor mío, ¿has dicho tú: Adonías reinará después de mí, y él se sentará en mi trono? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,25,Adonías usurpa el trono,"Porque hoy ha descendido, y ha matado bueyes y animales gordos y muchas ovejas, y ha convidado a todos los hijos del rey, y a los capitanes del ejército, y también al sacerdote Abiatar; y he aquí, están comiendo y bebiendo delante de él, y han dicho: ¡Viva el rey Adonías! ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,26,Adonías usurpa el trono,"Pero ni a mí tu siervo, ni al sacerdote Sadoc, ni a Benaía hijo de Joiada, ni a Salomón tu siervo, ha convidado. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,27,Adonías usurpa el trono,"¿Es este negocio ordenado por mi señor el rey, sin haber declarado a tus siervos quién se había de sentar en el trono de mi señor el rey después de él? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,28,David proclama rey a Salomón,"Entonces el rey David respondió y dijo: Llamadme a Betsabé. Y ella entró a la presencia del rey, y se puso delante del rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,29,David proclama rey a Salomón,"Y el rey juró diciendo: Vive Jehová, que ha redimido mi alma de toda angustia, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,30,David proclama rey a Salomón,"que como yo te he jurado por Jehová Dios de Israel, diciendo: Tu hijo Salomón reinará después de mí, y él se sentará en mi trono en lugar mío; que así lo haré hoy. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,31,David proclama rey a Salomón,"Entonces Betsabé se inclinó ante el rey, con su rostro a tierra, y haciendo reverencia al rey, dijo: Viva mi señor el rey David para siempre. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,32,David proclama rey a Salomón,"Y el rey David dijo: Llamadme al sacerdote Sadoc, al profeta Natán, y a Benaía hijo de Joiada. Y ellos entraron a la presencia del rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,33,David proclama rey a Salomón,"Y el rey les dijo: Tomad con vosotros los siervos de vuestro señor, y montad a Salomón mi hijo en mi mula, y llevadlo a Gihón; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,34,David proclama rey a Salomón,"y allí lo ungirán el sacerdote Sadoc y el profeta Natán como rey sobre Israel, y tocaréis trompeta, diciendo: ¡Viva el rey Salomón! ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,35,David proclama rey a Salomón,"Después iréis vosotros detrás de él, y vendrá y se sentará en mi trono, y él reinará por mí; porque a él he escogido para que sea príncipe sobre Israel y sobre Judá. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,36,David proclama rey a Salomón,"Entonces Benaía hijo de Joiada respondió al rey y dijo: Amén. Así lo diga Jehová, Dios de mi señor el rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,37,David proclama rey a Salomón,"De la manera que Jehová ha estado con mi señor el rey, así esté con Salomón, y haga mayor su trono que el trono de mi señor el rey David. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,38,David proclama rey a Salomón,"Y descendieron el sacerdote Sadoc, el profeta Natán, Benaía hijo de Joiada, y los cereteos y los peleteos, y montaron a Salomón en la mula del rey David, y lo llevaron a Gihón. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,39,David proclama rey a Salomón,"Y tomando el sacerdote Sadoc el cuerno del aceite del tabernáculo, ungió a Salomón; y tocaron trompeta, y dijo todo el pueblo: ¡Viva el rey Salomón! ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,40,David proclama rey a Salomón,"Después subió todo el pueblo en pos de él, y cantaba la gente con flautas, y hacían grandes alegrías, que parecía que la tierra se hundía con el clamor de ellos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,41,David proclama rey a Salomón,"Y lo oyó Adonías, y todos los convidados que con él estaban, cuando ya habían acabado de comer. Y oyendo Joab el sonido de la trompeta, dijo: ¿Por qué se alborota la ciudad con estruendo? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,42,David proclama rey a Salomón,"Mientras él aún hablaba, he aquí vino Jonatán hijo del sacerdote Abiatar, al cual dijo Adonías: Entra, porque tú eres hombre valiente, y traerás buenas nuevas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,43,David proclama rey a Salomón,Jonatán respondió y dijo a Adonías: Ciertamente nuestro señor el rey David ha hecho rey a Salomón; ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,44,David proclama rey a Salomón,"y el rey ha enviado con él al sacerdote Sadoc y al profeta Natán, y a Benaía hijo de Joiada, y también a los cereteos y a los peleteos, los cuales le montaron en la mula del rey; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,45,David proclama rey a Salomón,"y el sacerdote Sadoc y el profeta Natán lo han ungido por rey en Gihón, y de allí han subido con alegrías, y la ciudad está llena de estruendo. Este es el alboroto que habéis oído. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,46,David proclama rey a Salomón,"También Salomón se ha sentado en el trono del reino, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,47,David proclama rey a Salomón,"y aun los siervos del rey han venido a bendecir a nuestro señor el rey David, diciendo: Dios haga bueno el nombre de Salomón más que tu nombre, y haga mayor su trono que el tuyo. Y el rey adoró en la cama. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,48,David proclama rey a Salomón,"Además el rey ha dicho así: Bendito sea Jehová Dios de Israel, que ha dado hoy quien se siente en mi trono, viéndolo mis ojos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,49,David proclama rey a Salomón,"Ellos entonces se estremecieron, y se levantaron todos los convidados que estaban con Adonías, y se fue cada uno por su camino. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,50,David proclama rey a Salomón,"Mas Adonías, temiendo de la presencia de Salomón, se levantó y se fue, y se asió de los cuernos del altar. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,51,David proclama rey a Salomón,"Y se lo hicieron saber a Salomón, diciendo: He aquí que Adonías tiene miedo del rey Salomón, pues se ha asido de los cuernos del altar, diciendo: Júreme hoy el rey Salomón que no matará a espada a su siervo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,52,David proclama rey a Salomón,"Y Salomón dijo: Si él fuere hombre de bien, ni uno de sus cabellos caerá en tierra; mas si se hallare mal en él, morirá. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,1,53,David proclama rey a Salomón,"Y envió el rey Salomón, y lo trajeron del altar; y él vino, y se inclinó ante el rey Salomón. Y Salomón le dijo: Vete a tu casa. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60
1-reyes,2,1,Mandato de David a Salomón,"Llegaron los días en que David había de morir, y ordenó a Salomón su hijo, diciendo: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,2,Mandato de David a Salomón,"Yo sigo el camino de todos en la tierra; esfuérzate, y sé hombre. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,3,Mandato de David a Salomón,"Guarda los preceptos de Jehová tu Dios, andando en sus caminos, y observando sus estatutos y mandamientos, sus decretos y sus testimonios, de la manera que está escrito en la ley de Moisés, para que prosperes en todo lo que hagas y en todo aquello que emprendas; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,4,Mandato de David a Salomón,"para que confirme Jehová la palabra que me habló, diciendo: Si tus hijos guardaren mi camino, andando delante de mí con verdad, de todo su corazón y de toda su alma, jamás, dice, faltará a ti varón en el trono de Israel. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,5,Mandato de David a Salomón,"Ya sabes tú lo que me ha hecho Joab hijo de Sarvia, lo que hizo a dos generales del ejército de Israel, a Abner hijo de Ner y a Amasa hijo de Jeter, a los cuales él mató, derramando en tiempo de paz la sangre de guerra, y poniendo sangre de guerra en el talabarte que tenía sobre sus lomos, y en los zapatos que tenía en sus pies. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,6,Mandato de David a Salomón,"Tú, pues, harás conforme a tu sabiduría; no dejarás descender sus canas al Seol en paz. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,7,Mandato de David a Salomón,"Mas a los hijos de Barzilai galaadita harás misericordia, que sean de los convidados a tu mesa; porque ellos vinieron de esta manera a mí, cuando iba huyendo de Absalón tu hermano. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,8,Mandato de David a Salomón,"También tienes contigo a Simei hijo de Gera, hijo de Benjamín, de Bahurim, el cual me maldijo con una maldición fuerte el día que yo iba a Mahanaim. Mas él mismo descendió a recibirme al Jordán, y yo le juré por Jehová diciendo: Yo no te mataré a espada. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,9,Mandato de David a Salomón,"Pero ahora no lo absolverás; pues hombre sabio eres, y sabes cómo debes hacer con él; y harás descender sus canas con sangre al Seol. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,10,Muerte de David,"Y durmió David con sus padres, y fue sepultado en su ciudad. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,11,Muerte de David,"Los días que reinó David sobre Israel fueron cuarenta años; siete años reinó en Hebrón, y treinta y tres años reinó en Jerusalén. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,12,Muerte de David,"Y se sentó Salomón en el trono de David su padre, y su reino fue firme en gran manera. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,13,Salomón afirma su reino,"Entonces Adonías hijo de Haguit vino a Betsabé madre de Salomón; y ella le dijo: ¿Es tu venida de paz? El respondió: Sí, de paz. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,14,Salomón afirma su reino,En seguida dijo: Una palabra tengo que decirte. Y ella dijo: Di. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,15,Salomón afirma su reino,"El dijo: Tú sabes que el reino era mío, y que todo Israel había puesto en mí su rostro para que yo reinara; mas el reino fue traspasado, y vino a ser de mi hermano, porque por Jehová era suyo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,16,Salomón afirma su reino,Ahora yo te hago una petición; no me la niegues. Y ella le dijo: Habla. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,17,Salomón afirma su reino,"El entonces dijo: Yo te ruego que hables al rey Salomón (porque él no te lo negará), para que me dé Abisag sunamita por mujer. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,18,Salomón afirma su reino,Y Betsabé dijo: Bien; yo hablaré por ti al rey. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,19,Salomón afirma su reino,"Vino Betsabé al rey Salomón para hablarle por Adonías. Y el rey se levantó a recibirla, y se inclinó ante ella, y volvió a sentarse en su trono, e hizo traer una silla para su madre, la cual se sentó a su diestra. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,20,Salomón afirma su reino,"Y ella dijo: Una pequeña petición pretendo de ti; no me la niegues. Y el rey le dijo: Pide, madre mía, que yo no te la negaré. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,21,Salomón afirma su reino,Y ella dijo: Dese Abisag sunamita por mujer a tu hermano Adonías. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,22,Salomón afirma su reino,"El rey Salomón respondió y dijo a su madre: ¿Por qué pides a Abisag sunamita para Adonías? Demanda también para él el reino; porque él es mi hermano mayor, y ya tiene también al sacerdote Abiatar, y a Joab hijo de Sarvia. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,23,Salomón afirma su reino,"Y el rey Salomón juró por Jehová, diciendo: Así me haga Dios y aun me añada, que contra su vida ha hablado Adonías estas palabras. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,24,Salomón afirma su reino,"Ahora, pues, vive Jehová, quien me ha confirmado y me ha puesto sobre el trono de David mi padre, y quien me ha hecho casa, como me había dicho, que Adonías morirá hoy. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,25,Salomón afirma su reino,"Entonces el rey Salomón envió por mano de Benaía hijo de Joiada, el cual arremetió contra él, y murió. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
1-reyes,2,26,Salomón afirma su reino,"Y el rey dijo al sacerdote Abiatar: Vete a Anatot, a tus heredades, pues eres digno de muerte; pero no te mataré hoy, por cuanto has llevado el arca de Jehová el Señor delante de David mi padre, y además has sido afligido en todas las cosas en que fue afligido mi padre. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=2&version=rv60
