book,chapter,verse,subtitle,text,source_url
2-cronicas,1,1,Salomón pide sabiduría,"Salomón hijo de David fue afirmado en su reino, y Jehová su Dios estaba con él, y lo engrandeció sobremanera.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,2,Salomón pide sabiduría,"Y convocó Salomón a todo Israel, a jefes de millares y de centenas, a jueces y a todos los príncipes de todo Israel, jefes de familias.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,3,Salomón pide sabiduría,"Y fue Salomón, y con él toda esta asamblea al lugar alto que había en Gabaón; porque allí estaba el tabernáculo de reunión de Dios, que Moisés siervo de Jehová había hecho en el desierto.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,4,Salomón pide sabiduría,Pero David había traído el arca de Dios desde Quiriat-jearim al lugar que él le había preparado;  porque él le había levantado una tienda en Jerusalén.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,5,Salomón pide sabiduría,"Asimismo el altar de bronce que había hecho Bezaleel hijo de Uri, hijo de Hur, estaba allí delante del tabernáculo de Jehová, al cual fue a consultar Salomón con aquella asamblea.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,6,Salomón pide sabiduría,"Subió, pues, Salomón allá ante Jehová, al altar de bronce que estaba en el tabernáculo de reunión, y ofreció sobre él mil holocaustos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,7,Salomón pide sabiduría,Y aquella noche apareció Dios  a Salomón y le dijo: Pídeme lo que quieras que yo te dé.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,8,Salomón pide sabiduría,"Y Salomón dijo a Dios: Tú has tenido con David mi padre gran misericordia, y a mí me has puesto por rey en  lugar suyo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,9,Salomón pide sabiduría,"Confírmese pues, ahora, oh Jehová Dios,  tu palabra dada a David mi padre, porque tú me has puesto por rey sobre un pueblo numeroso como el polvo de la tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,10,Salomón pide sabiduría,"Dame ahora sabiduría y ciencia, para presentarme delante de este pueblo; porque, quién podrá gobernar a este tu pueblo tan grande?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
2-cronicas,1,11,Salomón pide sabiduría,"Y dijo Dios a Salomón: por cuanto hubo esto en tu corazón, y no pediste riquezas, bienes o gloria, ni la vida de los que te quieren mal, ni pediste muchos días, sino que has pedido para ti sabiduría y ciencia para gobernar a mi pueblo, sobre el cual te he puesto por rey,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60
