book,chapter,verse,subtitle,text,source_url
nehemias,1,1,Oración de Nehemías sobre Jerusalén,"Palabras de Nehemías hijo de Hacalías. Aconteció en el mes de Quisleu, en el año veinte, estando yo en Susa, capital del reino, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,2,Oración de Nehemías sobre Jerusalén,"que vino Hanani, uno de mis hermanos, con algunos varones de Judá, y les pregunté por los judíos que habían escapado, que habían quedado de la cautividad, y por Jerusalén. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,3,Oración de Nehemías sobre Jerusalén,"Y me dijeron: El remanente, los que quedaron de la cautividad, allí en la provincia, están en gran mal y afrenta, y el muro de Jerusalén derribado, y sus puertas quemadas a fuego. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,4,Oración de Nehemías sobre Jerusalén,"Cuando oí estas palabras me senté y lloré, e hice duelo por algunos días, y ayuné y oré delante del Dios de los cielos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,5,Oración de Nehemías sobre Jerusalén,"Y dije: Te ruego, oh Jehová, Dios de los cielos, fuerte, grande y temible, que guarda el pacto y la misericordia a los que le aman y guardan sus mandamientos; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,6,Oración de Nehemías sobre Jerusalén,"esté ahora atento tu oído y abiertos tus ojos para oír la oración de tu siervo, que hago ahora delante de ti día y noche, por los hijos de Israel tus siervos; y confieso los pecados de los hijos de Israel que hemos cometido contra ti; sí, yo y la casa de mi padre hemos pecado. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,7,Oración de Nehemías sobre Jerusalén,"En extremo nos hemos corrompido contra ti, y no hemos guardado los mandamientos, estatutos y preceptos que diste a Moisés tu siervo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,8,Oración de Nehemías sobre Jerusalén,"Acuérdate ahora de la palabra que diste a Moisés tu siervo, diciendo: Si vosotros pecareis, yo os dispersaré por los pueblos; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,9,Oración de Nehemías sobre Jerusalén,"pero si os volviereis a mí, y guardareis mis mandamientos, y los pusiereis por obra, aunque vuestra dispersión fuere hasta el extremo de los cielos, de allí os recogeré, y os traeré al lugar que escogí para hacer habitar allí mi nombre. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,10,Oración de Nehemías sobre Jerusalén,"Ellos, pues, son tus siervos y tu pueblo, los cuales redimiste con tu gran poder, y con tu mano poderosa. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
nehemias,1,11,Oración de Nehemías sobre Jerusalén,"Te ruego, oh Jehová, esté ahora atento tu oído a la oración de tu siervo, y a la oración de tus siervos, quienes desean reverenciar tu nombre; concede ahora buen éxito a tu siervo, y dale gracia delante de aquel varón. Porque yo servía de copero al rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nehemias&capitulo=1&version=rv60
