book,chapter,verse,subtitle,text,source_url
ester,1,1,La reina Vasti desafía a Asuero,"Aconteció en los días de Asuero, el Asuero que reinó desde la India hasta Etiopía sobre ciento veintisiete provincias, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,2,La reina Vasti desafía a Asuero,"que en aquellos días, cuando fue afirmado el rey Asuero sobre el trono de su reino, el cual estaba en Susa capital del reino, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,3,La reina Vasti desafía a Asuero,"en el tercer año de su reinado hizo banquete a todos sus príncipes y cortesanos, teniendo delante de él a los más poderosos de Persia y de Media, gobernadores y príncipes de provincias, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,4,La reina Vasti desafía a Asuero,"para mostrar él las riquezas de la gloria de su reino, el brillo y la magnificencia de su poder, por muchos días, ciento ochenta días. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,5,La reina Vasti desafía a Asuero,"Y cumplidos estos días, hizo el rey otro banquete por siete días en el patio del huerto del palacio real a todo el pueblo que había en Susa capital del reino, desde el mayor hasta el menor. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,6,La reina Vasti desafía a Asuero,"El pabellón era de blanco, verde y azul, tendido sobre cuerdas de lino y púrpura en anillos de plata y columnas de mármol; los reclinatorios de oro y de plata, sobre losado de pórfido y de mármol, y de alabastro y de jacinto. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,7,La reina Vasti desafía a Asuero,"Y daban a beber en vasos de oro, y vasos diferentes unos de otros, y mucho vino real, de acuerdo con la generosidad del rey. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,8,La reina Vasti desafía a Asuero,"Y la bebida era según esta ley: Que nadie fuese obligado a beber; porque así lo había mandado el rey a todos los mayordomos de su casa, que se hiciese según la voluntad de cada uno. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,9,La reina Vasti desafía a Asuero,"Asimismo la reina Vasti hizo banquete para las mujeres, en la casa real del rey Asuero. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
ester,1,10,La reina Vasti desafía a Asuero,"El séptimo día, estando el corazón del rey alegre del vino, mandó a Mehumán, Bizta, Harbona, Bigta, Abagta, Zetar y Carcas, siete eunucos que servían delante del rey Asuero, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60
