book,chapter,verse,subtitle,text,source_url
salmos,1,1,El justo y los pecadores,"Bienaventurado el varón que no anduvo en consejo de malos,Ni estuvo en camino de pecadores,Ni en silla de escarnecedores se ha sentado; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60
salmos,1,2,El justo y los pecadores,"Sino que en la ley de Jehová está su delicia,Y en su ley medita de día y de noche. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60
salmos,1,3,El justo y los pecadores,"Será como árbol plantado junto a corrientes de aguas,Que da su fruto en su tiempo,Y su hoja no cae;Y todo lo que hace, prosperará. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60
salmos,1,4,El justo y los pecadores,"No así los malos,Que son como el tamo que arrebata el viento. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60
salmos,1,5,El justo y los pecadores,"Por tanto, no se levantarán los malos en el juicio,Ni los pecadores en la congregación de los justos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60
salmos,1,6,El justo y los pecadores,Porque Jehová conoce el camino de los justos;Mas la senda de los malos perecerá. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60
salmos,2,1,El reino del ungido de Jehová,"¿Por qué se amotinan las gentes,Y los pueblos piensan cosas vanas? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60
salmos,2,2,El reino del ungido de Jehová,"Se levantarán los reyes de la tierra,Y príncipes consultarán unidosContra Jehová y contra su ungido, diciendo: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60
salmos,2,3,El reino del ungido de Jehová,"Rompamos sus ligaduras,Y echemos de nosotros sus cuerdas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60
salmos,2,4,El reino del ungido de Jehová,El que mora en los cielos se reirá;El Señor se burlará de ellos. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60
salmos,2,5,El reino del ungido de Jehová,"Luego hablará a ellos en su furor,Y los turbará con su ira. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60
