book,chapter,verse,subtitle,text,source_url
genesis,1,1,La Creación,En el principio creó Dios los cielos y la tierra. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,2,La Creación,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la faz del abismo, y el Espíritu de Dios se movía sobre la faz de las aguas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,3,La Creación,Y dijo Dios: Sea la luz;  y fue la luz. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,4,La Creación,Y vio Dios que la luz era buena; y separó Dios la luz de las tinieblas. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,5,La Creación,"Y llamó Dios a la luz Día, y a las tinieblas llamó Noche. Y fue la tarde y la mañana un día. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,6,La Creación,"Luego dijo Dios: Haya expansión en medio de las aguas, y separe las aguas de las aguas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,7,La Creación,"E hizo Dios la expansión, y separó las aguas que estaban debajo de la expansión, de las aguas que estaban sobre la expansión. Y fue así. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,8,La Creación,Y llamó Dios a la expansión Cielos. Y fue la tarde y la mañana el día segundo. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,9,La Creación,"Dijo también Dios: Júntense las aguas que están debajo de los cielos en un lugar, y descúbrase lo seco. Y fue así. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,10,La Creación,"Y llamó Dios a lo seco Tierra, y a la reunión de las aguas llamó Mares. Y vio Dios que era bueno. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
genesis,1,11,La Creación,"Después dijo Dios: Produzca la tierra hierba verde, hierba que dé semilla; árbol de fruto que dé fruto según su género, que su semilla esté en él, sobre la tierra. Y fue así. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=genesis&capitulo=1&version=rv60
