book,chapter,verse,subtitle,text,source_url
proverbios,1,1,Motivo de los proverbios,"Los proverbios de Salomón, hijo de David, rey de Israel.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,2,Motivo de los proverbios,"Para entender sabiduría y doctrina,
Para conocer razones prudentes,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,3,Motivo de los proverbios,"Para recibir el consejo de prudencia,
Justicia, juicio y equidad;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,4,Motivo de los proverbios,"Para dar sagacidad a los simples,
Y a los jóvenes inteligencia y cordura.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,5,Motivo de los proverbios,"Oirá el sabio, y aumentará el saber,
Y el entendido adquirirá consejo,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,6,Motivo de los proverbios,"Para entender proverbio y declaración,
Palabras de sabios, y sus dichos profundos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,7,Motivo de los proverbios,"El principio de la sabiduría es el temor de Jehová;
Los insensatos desprecian la sabiduría y la enseñanza.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,8,Motivo de los proverbios,"Oye, hijo mío, la instrucción de tu padre,
Y no desprecies la dirección de tu madre;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,9,Motivo de los proverbios,"Porque adorno de gracia serán a tu cabeza,
Y collares a tu cuello.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,10,Motivo de los proverbios,"Hijo mío, si los pecadores te quisieren engañar,
No consientas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,11,Motivo de los proverbios,"Si dijeren: Ven con nosotros;
Pongamos asechanzas para derramar sangre,
Acechemos sin motivo al inocente;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,12,Motivo de los proverbios,"Los tragaremos vivos como el Seol,
Y enteros, como los que caen en un abismo;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,13,Motivo de los proverbios,"Hallaremos riquezas de toda clase,
Llenaremos nuestras casas de despojos;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,14,Motivo de los proverbios,"Echa tu suerte entre nosotros;
Tengamos todos una bolsa,—",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,15,Motivo de los proverbios,"Hijo mío, no andes en camino con ellos.
Aparta tu pie de sus veredas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,16,Motivo de los proverbios,"Porque sus pies corren hacia el mal,
Y van presurosos a derramar sangre.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,17,Motivo de los proverbios,"Porque en vano se tenderá la red
Ante los ojos de toda ave;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,18,Motivo de los proverbios,"Pero ellos a su propia sangre ponen asechanzas,
Y a sus almas tienden lazo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,19,Motivo de los proverbios,"Tales son las sendas de todo el que es dado a la codicia,
La cual quita la vida de sus poseedores.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
proverbios,1,20,Motivo de los proverbios,"La sabiduría clama en las calles,
Alza su voz en las plazas;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60
