book,chapter,verse,subtitle,text,source_url
cantares,1,1,La esposa y las hijas de Jerusalén,"Cantar de los cantares, el cual es de Salomón.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,2,La esposa y las hijas de Jerusalén,"¡Oh, si él me besara con besos de su boca!
Porque mejores son tus amores que el vino.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,3,La esposa y las hijas de Jerusalén,"A más del olor de tus suaves ungüentos,
Tu nombre es como ungüento derramado;
Por eso las doncellas te aman.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,4,La esposa y las hijas de Jerusalén,"Atráeme; en pos de ti correremos.
El rey me ha metido en sus cámaras;
Nos gozaremos y alegraremos en ti;
Nos acordaremos de tus amores más que del vino;
Con razón te aman.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,5,La esposa y las hijas de Jerusalén,"Morena soy, oh hijas de Jerusalén, pero codiciable
Como las tiendas de Cedar,
Como las cortinas de Salomón.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,6,La esposa y las hijas de Jerusalén,"No reparéis en que soy morena,
Porque el sol me miró.
Los hijos de mi madre se airaron contra mí;
Me pusieron a guardar las viñas;
Y mi viña, que era mía, no guardé.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,7,La esposa y las hijas de Jerusalén,"Hazme saber, oh tú a quien ama mi alma,
Dónde apacientas, dónde sesteas al mediodía;
Pues ¿por qué había de estar yo como errante
Junto a los rebaños de tus compañeros?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,8,La esposa y las hijas de Jerusalén,"Si tú no lo sabes, oh hermosa entre las mujeres,
Ve, sigue las huellas del rebaño,
Y apacienta tus cabritas junto a las cabañas de los pastores.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,9,La esposa y el esposo,"A yegua de los carros de Faraón
Te he comparado, amiga mía.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
cantares,1,10,La esposa y el esposo,"Hermosas son tus mejillas entre los pendientes,
Tu cuello entre los collares.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=cantares&capitulo=1&version=rv60
