book,chapter,verse,subtitle,text,source_url
isaias,1,1,Una nación pecadora,"Visión de Isaías hijo de Amoz, la cual vio acerca de Judá y Jerusalén en días de Uzías, Jotam, Acaz y Ezequías, reyes de Judá. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,2,Una nación pecadora,"Oíd, cielos, y escucha tú, tierra; porque habla Jehová: Crié hijos, y los engrandecí, y ellos se rebelaron contra mí. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,3,Una nación pecadora,"El buey conoce a su dueño, y el asno el pesebre de su señor; Israel no entiende, mi pueblo no tiene conocimiento. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,4,Una nación pecadora,"¡Oh gente pecadora, pueblo cargado de maldad, generación de malignos, hijos depravados! Dejaron a Jehová, provocaron a ira al Santo de Israel, se volvieron atrás. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,5,Una nación pecadora,"¿Por qué querréis ser castigados aún? ¿Todavía os rebelaréis? Toda cabeza está enferma, y todo corazón doliente. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,6,Una nación pecadora,"Desde la planta del pie hasta la cabeza no hay en él cosa sana, sino herida, hinchazón y podrida llaga; no están curadas, ni vendadas, ni suavizadas con aceite. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,7,Una nación pecadora,"Vuestra tierra está destruida, vuestras ciudades puestas a fuego, vuestra tierra delante de vosotros comida por extranjeros, y asolada como asolamiento de extraños. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,8,Una nación pecadora,"Y queda la hija de Sion como enramada en viña, y como cabaña en melonar, como ciudad asolada. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,9,Una nación pecadora,"Si Jehová de los ejércitos no nos hubiese dejado un resto pequeño, como Sodoma fuéramos, y semejantes a Gomorra. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,10,Llamamiento al arrepentimiento verdadero,"Príncipes de Sodoma, oíd la palabra de Jehová; escuchad la ley de nuestro Dios, pueblo de Gomorra. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,11,Llamamiento al arrepentimiento verdadero,"¿Para qué me sirve, dice Jehová, la multitud de vuestros sacrificios? Hastiado estoy de holocaustos de carneros y de sebo de animales gordos; no quiero sangre de bueyes, ni de ovejas, ni de machos cabríos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
isaias,1,12,Llamamiento al arrepentimiento verdadero,"¿Quién demanda esto de vuestras manos, cuando venís a presentaros delante de mí para hollar mis atrios? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60
