book,chapter,verse,subtitle,text,source_url
lamentaciones,1,1,Tristeza de Sion la cautiva,"¡Cómo ha quedado sola la ciudad populosa!
La grande entre las naciones se ha vuelto como viuda,
La señora de provincias ha sido hecha tributaria.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,2,Tristeza de Sion la cautiva,"Amargamente llora en la noche, y sus lágrimas están en sus mejillas.
No tiene quien la consuele de todos sus amantes;
Todos sus amigos le faltaron, se le volvieron enemigos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,3,Tristeza de Sion la cautiva,"Judá ha ido en cautiverio a causa de la aflicción y de la dura servidumbre;
Ella habitó entre las naciones, y no halló descanso;
Todos sus perseguidores la alcanzaron entre las estrechuras.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,4,Tristeza de Sion la cautiva,"Las calzadas de Sion tienen luto, porque no hay quien venga a las fiestas solemnes;
Todas sus puertas están asoladas, sus sacerdotes gimen,
Sus vírgenes están afligidas, y ella tiene amargura.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,5,Tristeza de Sion la cautiva,"Sus enemigos han sido hechos príncipes, sus aborrecedores fueron prosperados,
Porque Jehová la afligió por la multitud de sus rebeliones;
Sus hijos fueron en cautividad delante del enemigo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,6,Tristeza de Sion la cautiva,"Desapareció de la hija de Sion toda su hermosura;
Sus príncipes fueron como ciervos que no hallan pasto,
Y anduvieron sin fuerzas delante del perseguidor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,7,Tristeza de Sion la cautiva,"Jerusalén, cuando cayó su pueblo en mano del enemigo y no hubo quien la ayudase,
Se acordó de los días de su aflicción, y de sus rebeliones,
Y de todas las cosas agradables que tuvo desde los tiempos antiguos.
La miraron los enemigos, y se burlaron de su caída.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,8,Tristeza de Sion la cautiva,"Pecado cometió Jerusalén, por lo cual ella ha sido removida;
Todos los que la honraban la han menospreciado, porque vieron su vergüenza;
Y ella suspira, y se vuelve atrás.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,9,Tristeza de Sion la cautiva,"Su inmundicia está en sus faldas, y no se acordó de su fin;
Por tanto, ella ha descendido sorprendentemente, y no tiene quien la consuele.
Mira, oh Jehová, mi aflicción, porque el enemigo se ha engrandecido.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,10,Tristeza de Sion la cautiva,"Extendió su mano el enemigo a todas sus cosas preciosas;
Ella ha visto entrar en su santuario a las naciones
De las cuales mandaste que no entrasen en tu congregación.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,11,Tristeza de Sion la cautiva,"Todo su pueblo buscó su pan suspirando;
Dieron por la comida todas sus cosas preciosas, para entretener la vida.
Mira, oh Jehová, y ve que estoy abatida.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,12,Tristeza de Sion la cautiva,"¿No os conmueve a cuantos pasáis por el camino?
Mirad, y ved si hay dolor como mi dolor que me ha venido;
Porque Jehová me ha angustiado en el día de su ardiente furor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
lamentaciones,1,13,Tristeza de Sion la cautiva,"Desde lo alto envió fuego que consume mis huesos;
Ha extendido red a mis pies, me volvió atrás,
Me dejó desolada, y con dolor todo el día.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60
