book,chapter,verse,subtitle,text,source_url
joel,1,1,Devastación de la tierra por la langosta,"Palabra de Jehová que vino a Joel, hijo de Petuel.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,2,Devastación de la tierra por la langosta,"Oíd esto, ancianos, y escuchad, todos los moradores de la tierra. ¿Ha acontecido esto en vuestros días, o en los días de vuestros padres?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,3,Devastación de la tierra por la langosta,"De esto contaréis a vuestros hijos, y vuestros hijos a sus hijos, y sus hijos a la otra generación.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,4,Devastación de la tierra por la langosta,"Lo que quedó de la oruga comió el saltón, y lo que quedó del saltón comió el revoltón; y la langosta comió lo que del revoltón había quedado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,5,Devastación de la tierra por la langosta,"Despertad, borrachos, y llorad; gemid, todos los que bebéis vino, a causa del mosto, porque os es quitado de vuestra boca.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,6,Devastación de la tierra por la langosta,"Porque pueblo fuerte e innumerable subió a mi tierra; sus dientes son dientes de león, y sus muelas, muelas de león.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,7,Devastación de la tierra por la langosta,"Asoló mi vid, y descortezó mi higuera; del todo la desnudó y derribó; sus ramas quedaron blancas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,8,Devastación de la tierra por la langosta,Llora tú como joven vestida de cilicio por el marido de su juventud.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,9,Devastación de la tierra por la langosta,Desapareció de la casa de Jehová la ofrenda y la libación; los sacerdotes ministros de Jehová están de duelo.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,10,Devastación de la tierra por la langosta,"El campo está asolado, se enlutó la tierra; porque el trigo fue destruido, se secó el mosto, se perdió el aceite.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,11,Devastación de la tierra por la langosta,"Confundíos, labradores; gemid, viñeros, por el trigo y la cebada, porque se perdió la mies del campo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
joel,1,12,Devastación de la tierra por la langosta,"La vid está seca, y pereció la higuera; el granado también, la palmera y el manzano; todos los árboles del campo se secaron, por lo cual se extinguió el gozo de los hijos de los hombres.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60
