book,chapter,verse,subtitle,text,source_url
exodo,1,1,Aflicción de los israelitas en Egipto,Estos son los nombres de los hijos de Israel que entraron en Egipto con Jacob; cada uno entró con su familia:,https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,2,Aflicción de los israelitas en Egipto,"Rubén, Simeón, Leví, Judá,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,3,Aflicción de los israelitas en Egipto,"Isacar, Zabulón, Benjamín,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,4,Aflicción de los israelitas en Egipto,"Dan, Neftalí, Gad y Aser.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,5,Aflicción de los israelitas en Egipto,Todas las personas que le nacieron a Jacob fueron setenta. Y José estaba en Egipto.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,6,Aflicción de los israelitas en Egipto,"Y murió José, y todos sus hermanos, y toda aquella generación.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,7,Aflicción de los israelitas en Egipto,"Y los hijos de Israel fructificaron y se multiplicaron, y fueron aumentados y fortalecidos en extremo, y se llenó de ellos la tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,8,Aflicción de los israelitas en Egipto,"Entretanto, se levantó sobre Egipto un nuevo rey que no conocía a José; y dijo a su pueblo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,9,Aflicción de los israelitas en Egipto,"He aquí, el pueblo de los hijos de Israel es mayor y más fuerte que nosotros.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,10,Aflicción de los israelitas en Egipto,"Ahora, pues, seamos sabios para con él, para que no se multiplique, y acontezca que viniendo guerra, él también se una a nuestros enemigos y pelee contra nosotros, y se vaya de la tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,11,Aflicción de los israelitas en Egipto,"Entonces pusieron sobre ellos comisarios de tributos que los molestasen con sus cargas; y edificaron para Faraón las ciudades de almacenaje, Pitón y Ramesés.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,12,Aflicción de los israelitas en Egipto,"Pero cuanto más los oprimían, tanto más se multiplicaban y crecían, de manera que los egipcios temían a los hijos de Israel.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,13,Aflicción de los israelitas en Egipto,"Y los egipcios hicieron servir a los hijos de Israel con dureza,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,14,Aflicción de los israelitas en Egipto,"y amargaron su vida con dura servidumbre, en hacer barro y ladrillo, y en toda labor del campo y en todo su servicio, al cual los obligaban con rigor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,15,Aflicción de los israelitas en Egipto,"Y habló el rey de Egipto a las parteras de las hebreas, una de las cuales se llamaba Sifra, y otra Fúa, y les dijo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,16,Aflicción de los israelitas en Egipto,"Cuando asistáis a las hebreas en sus partos, y veáis el sexo, si es hijo, matadlo; y si es hija, entonces viva.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,17,Aflicción de los israelitas en Egipto,"Pero las parteras temieron a Dios, y no hicieron como les mandó el rey de Egipto, sino que preservaron la vida a los niños.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
exodo,1,18,Aflicción de los israelitas en Egipto,"Y el rey de Egipto hizo llamar a las parteras y les dijo: ¿Por qué habéis hecho esto, que habéis preservado la vida a los niños?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=exodo&capitulo=1&version=rv60
