book,chapter,verse,subtitle,text,source_url
amos,1,1,Juicios contra las naciones vecinas,"Las palabras de Amós, que fue uno de los pastores de Tecoa, que profetizó acerca de Israel en días de Uzías rey de Judá y en días de Jeroboam hijo de Joás, rey de Israel, dos años antes del terremoto.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,2,Juicios contra las naciones vecinas,"Dijo: Jehová rugirá desde Sion, y dará su voz desde Jerusalén, y los campos de los pastores se enlutarán, y se secará la cumbre del Carmelo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,3,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Damasco, y por el cuarto, no revocaré su castigo; porque trillaron a Galaad con trillos de hierro.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,4,Juicios contra las naciones vecinas,"Prenderé fuego en la casa de Hazael, y consumirá los palacios de Ben-adad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,5,Juicios contra las naciones vecinas,"Y quebraré los cerrojos de Damasco, y destruiré a los moradores del valle de Avén, y los gobernadores de Bet-edén; y el pueblo de Siria será transportado a Kir, dice Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,6,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Gaza, y por el cuarto, no revocaré su castigo; porque llevó cautivo a todo un pueblo para entregarlo a Edom.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,7,Juicios contra las naciones vecinas,"Prenderé fuego en el muro de Gaza, y consumirá sus palacios.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,8,Juicios contra las naciones vecinas,"Y destruiré a los moradores de Asdod, y a los gobernadores de Ascalón; y volveré mi mano contra Ecrón, y el resto de los filisteos  perecerá, ha dicho Jehová el Señor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,9,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Tiro, y por el cuarto, no revocaré su castigo; porque entregaron a todo un pueblo cautivo a Edom, y no se acordaron del pacto de hermanos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,10,Juicios contra las naciones vecinas,"Prenderé fuego en el muro de Tiro, y consumirá sus palacios.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,11,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Edom, y por el cuarto, no revocaré su castigo; porque persiguió a espada a su hermano, y violó todo afecto natural; y en su furor le ha robado siempre, y perpetuamente ha guardado el rencor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,12,Juicios contra las naciones vecinas,"Prenderé fuego en Temán, y consumirá los palacios de Bosra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,13,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de los hijos de Amón, y por el cuarto, no revocaré su castigo; porque para ensanchar sus tierras abrieron a las mujeres de Galaad que estaban encintas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,14,Juicios contra las naciones vecinas,"Encenderé fuego en el muro de Rabá, y consumirá sus palacios con estruendo en el día de la batalla, con tempestad en día tempestuoso;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,1,15,Juicios contra las naciones vecinas,"y su rey irá en cautiverio, él y todos sus príncipes, dice Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60
amos,2,1,,"Así ha dicho Jehová: Por tres pecados de Moab, y por el cuarto, no revocaré su castigo; porque quemó los huesos del rey de Edom hasta calcinarlos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,2,,"Prenderé fuego en Moab, y consumirá los palacios de Queriot; y morirá Moab con tumulto, con estrépito y sonido de trompeta.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,3,,"Y quitaré el juez de en medio de él, y mataré con él a todos sus príncipes, dice Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,4,,"Así ha dicho Jehová: Por tres pecados de Judá, y por el cuarto, no revocaré su castigo; porque menospreciaron la ley de Jehová, y no guardaron sus ordenanzas, y les hicieron errar sus mentiras, en pos de las cuales anduvieron sus padres.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,5,,"Prenderé, por tanto, fuego en Judá, el cual consumirá los palacios de Jerusalén.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,6,Juicio contra Israel,"Así ha dicho Jehová: Por tres pecados de Israel, y por el cuarto, no revocaré su castigo; porque vendieron por dinero al justo, y al pobre por un par de zapatos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,7,Juicio contra Israel,"Pisotean en el polvo de la tierra las cabezas de los desvalidos, y tuercen el camino de los humildes; y el hijo y su padre se llegan a la misma joven, profanando mi santo nombre.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,8,Juicio contra Israel,Sobre las ropas empeñadas se acuestan junto a cualquier altar; y el vino de los multados beben en la casa de sus dioses.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,9,Juicio contra Israel,"Yo destruí delante de ellos al amorreo, cuya altura era como la altura de los cedros, y fuerte como una encina; y destruí su fruto arriba y sus raíces abajo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,10,Juicio contra Israel,"Y a vosotros os hice subir de la tierra de Egipto, y os conduje por el desierto cuarenta años, para que entraseis en posesión de la tierra del amorreo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,11,Juicio contra Israel,"Y levanté de vuestros hijos para profetas, y de vuestros jóvenes para que fuesen nazareos. ¿No es esto así, dice Jehová, hijos de Israel?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
amos,2,12,Juicio contra Israel,"Mas vosotros disteis de beber vino a los nazareos, y a los profetas mandasteis diciendo: No profeticéis.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60
