book,chapter,verse,subtitle,text,source_url
abdias,1,1,La humillación de Edom,"Visión de Abdías. Jehová el Señor ha dicho así en cuanto a Edom: Hemos oído el pregón de Jehová, y mensajero ha sido enviado a las naciones. Levantaos, y levantémonos contra este pueblo en batalla.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,2,La humillación de Edom,"He aquí, pequeño te he hecho entre las naciones; estás abatido en gran manera.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,3,La humillación de Edom,"La soberbia de tu corazón te ha engañado, tú que moras en las hendiduras de las peñas, en tu altísima morada; que dices en tu corazón: ¿Quién me derribará a tierra?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,4,La humillación de Edom,"Si te remontares como águila, y aunque entre las estrellas pusieres tu nido, de ahí te derribaré, dice Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,5,La humillación de Edom,"Si ladrones vinieran a ti, o robadores de noche (¡cómo has sido destruido!), ¿no hurtarían lo que les bastase? Si entraran a ti vendimiadores, ¿no dejarían algún rebusco?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,6,La humillación de Edom,¡Cómo fueron escudriñadas las cosas de Esaú! Sus tesoros escondidos fueron buscados.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,7,La humillación de Edom,Todos tus aliados te han engañado; hasta los confines te hicieron llegar; los que estaban en paz contigo prevalecieron contra ti; los que comían tu pan pusieron lazo debajo de ti; no hay en ello entendimiento.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,8,La humillación de Edom,"¿No haré que perezcan en aquel día, dice Jehová, los sabios de Edom, y la prudencia del monte de Esaú?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,9,La humillación de Edom,"Y tus valientes, oh Temán, serán amedrentados; porque todo hombre será cortado del monte de Esaú por el estrago.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,10,La humillación de Edom,"Por la injuria a tu hermano Jacob te cubrirá vergüenza, y serás cortado para siempre.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,11,La humillación de Edom,"El día que estando tú delante, llevaban extraños cautivo su ejército, y extraños entraban por sus puertas, y echaban suertes sobre Jerusalén, tú también eras como uno de ellos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,12,La humillación de Edom,"Pues no debiste tú haber estado mirando en el día de tu hermano, en el día de su infortunio; no debiste haberte alegrado de los hijos de Judá en el día en que se perdieron, ni debiste haberte jactado en el día de la angustia.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,13,La humillación de Edom,"No debiste haber entrado por la puerta de mi pueblo en el día de su quebrantamiento; no, no debiste haber mirado su mal en el día de su quebranto, ni haber echado mano a sus bienes en el día de su calamidad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,14,La humillación de Edom,Tampoco debiste haberte parado en las encrucijadas para matar a los que de ellos escapasen; ni debiste haber entregado a los que quedaban en el día de angustia.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,15,La exaltación de Israel,Porque cercano está el día de Jehová sobre todas las naciones; como tú hiciste se hará contigo; tu recompensa volverá sobre tu cabeza.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,16,La exaltación de Israel,"De la manera que vosotros bebisteis en mi santo monte, beberán continuamente todas las naciones; beberán, y engullirán, y serán como si no hubieran sido.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,17,La exaltación de Israel,"Mas en el monte de Sion habrá un remanente que se salve; y será santo, y la casa de Jacob recuperará sus posesiones.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,18,La exaltación de Israel,"La casa de Jacob será fuego, y la casa de José será llama, y la casa de Esaú estopa, y los quemarán y los consumirán; ni aun resto quedará de la casa de Esaú, porque Jehová lo ha dicho.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,19,La exaltación de Israel,"Y los del Neguev poseerán el monte de Esaú, y los de la Sefela a los filisteos; poseerán también los campos de Efraín, y los campos de Samaria; y Benjamín a Galaad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,20,La exaltación de Israel,Y los cautivos de este ejército de los hijos de Israel poseerán lo de los cananeos hasta Sarepta; y los cautivos de Jerusalén que están en Sefarad poseerán las ciudades del Neguev.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
abdias,1,21,La exaltación de Israel,Y subirán salvadores al monte de Sion para juzgar al monte de Esaú; y el reino será de Jehová.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60
