book,chapter,verse,subtitle,text,source_url
jonas,1,1,Jonás huye de Jehová,"Vino palabra de Jehová a Jonás hijo de Amitai, diciendo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,2,Jonás huye de Jehová,"Levántate y ve a Nínive, aquella gran ciudad, y pregona contra ella; porque ha subido su maldad delante de mí.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,3,Jonás huye de Jehová,"Y Jonás se levantó para huir de la presencia de Jehová a Tarsis, y descendió a Jope, y halló una nave que partía para Tarsis; y pagando su pasaje, entró en ella para irse con ellos a Tarsis, lejos de la presencia de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,4,Jonás huye de Jehová,"Pero Jehová hizo levantar un gran viento en el mar, y hubo en el mar una tempestad tan grande que se pensó que se partiría la nave.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,5,Jonás huye de Jehová,"Y los marineros tuvieron miedo, y cada uno clamaba a su dios; y echaron al mar los enseres que había en la nave, para descargarla de ellos. Pero Jonás había bajado al interior de la nave, y se había echado a dormir.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,6,Jonás huye de Jehová,"Y el patrón de la nave se le acercó y le dijo: ¿Qué tienes, dormilón? Levántate, y clama a tu Dios; quizá él tendrá compasión de nosotros, y no pereceremos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,7,Jonás huye de Jehová,"Y dijeron cada uno a su compañero: Venid y echemos suertes, para que sepamos por causa de quién nos ha venido este mal. Y echaron suertes, y la suerte cayó sobre Jonás.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,8,Jonás huye de Jehová,"Entonces le dijeron ellos: Decláranos ahora por qué nos ha venido este mal. ¿Qué oficio tienes, y de dónde vienes? ¿Cuál es tu tierra, y de qué pueblo eres?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,9,Jonás huye de Jehová,"Y él les respondió: Soy hebreo, y temo a Jehová, Dios de los cielos, que hizo el mar y la tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,10,Jonás huye de Jehová,"Y aquellos hombres temieron sobremanera, y le dijeron: ¿Por qué has hecho esto? Porque ellos sabían que huía de la presencia de Jehová, pues él se lo había declarado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,11,Jonás huye de Jehová,Y le dijeron: ¿Qué haremos contigo para que el mar se nos aquiete? Porque el mar se iba embraveciendo más y más.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,12,Jonás huye de Jehová,"El les respondió: Tomadme y echadme al mar, y el mar se os aquietará; porque yo sé que por mi causa ha venido esta gran tempestad sobre vosotros.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,13,Jonás huye de Jehová,"Y aquellos hombres trabajaron para hacer volver la nave a tierra; mas no pudieron, porque el mar se iba embraveciendo más y más contra ellos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,14,Jonás huye de Jehová,"Entonces clamaron a Jehová y dijeron: Te rogamos ahora, Jehová, que no perezcamos nosotros por la vida de este hombre, ni pongas sobre nosotros la sangre inocente; porque tú, Jehová, has hecho como has querido.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,15,Jonás huye de Jehová,"Y tomaron a Jonás, y lo echaron al mar; y el mar se aquietó de su furor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,16,Jonás huye de Jehová,"Y temieron aquellos hombres a Jehová con gran temor, y ofrecieron sacrificio a Jehová, e hicieron votos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,1,17,Jonás huye de Jehová,Pero Jehová tenía preparado un gran pez que tragase a Jonás; y estuvo Jonás en el vientre del pez tres días y tres noches.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=1&version=rv60
jonas,2,1,Oración de Jonás,"Entonces oró Jonás a Jehová su Dios desde el vientre del pez,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,2,Oración de Jonás,"y dijo:
Invoqué en mi angustia a Jehová, y él me oyó;
Desde el seno del Seol clamé,
Y mi voz oíste.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,3,Oración de Jonás,"Me echaste a lo profundo, en medio de los mares,
Y me rodeó la corriente;
Todas tus ondas y tus olas pasaron sobre mí.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,4,Oración de Jonás,"Entonces dije:
Desechado soy de delante de tus ojos;
Mas aún veré tu santo templo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,5,Oración de Jonás,"Las aguas me rodearon hasta el alma,
Rodeóme el abismo;
El alga se enredó a mi cabeza.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,6,Oración de Jonás,"Descendí a los cimientos de los montes;
La tierra echó sus cerrojos sobre mí para siempre;
Mas tú sacaste mi vida de la sepultura, oh Jehová Dios mío.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,7,Oración de Jonás,"Cuando mi alma desfallecía en mí, me acordé de Jehová,
Y mi oración llegó hasta ti en tu santo templo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,8,Oración de Jonás,"Los que siguen vanidades ilusorias,
Su misericordia abandonan.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,9,Oración de Jonás,"Mas yo con voz de alabanza te ofreceré sacrificios;
Pagaré lo que prometí.
La salvación es de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,2,10,Oración de Jonás,"Y mandó Jehová al pez, y vomitó a Jonás en tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=2&version=rv60
jonas,3,1,Nínive se arrepiente,"Vino palabra de Jehová por segunda vez a Jonás, diciendo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,2,Nínive se arrepiente,"Levántate y ve a Nínive, aquella gran ciudad, y proclama en ella el mensaje que yo te diré.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,3,Nínive se arrepiente,"Y se levantó Jonás, y fue a Nínive conforme a la palabra de Jehová. Y era Nínive ciudad grande en extremo, de tres días de camino.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,4,Nínive se arrepiente,"Y comenzó Jonás a entrar por la ciudad, camino de un día, y predicaba diciendo: De aquí a cuarenta días Nínive será destruida.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,5,Nínive se arrepiente,"Y los hombres de Nínive creyeron a Dios, y proclamaron ayuno, y se vistieron de cilicio desde el mayor hasta el menor de ellos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,6,Nínive se arrepiente,"Y llegó la noticia hasta el rey de Nínive, y se levantó de su silla, se despojó de su vestido, y se cubrió de cilicio y se sentó sobre ceniza.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,7,Nínive se arrepiente,"E hizo proclamar y anunciar en Nínive, por mandato del rey y de sus grandes, diciendo: Hombres y animales, bueyes y ovejas, no gusten cosa alguna; no se les dé alimento, ni beban agua;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,8,Nínive se arrepiente,"sino cúbranse de cilicio hombres y animales, y clamen a Dios fuertemente; y conviértase cada uno de su mal camino, de la rapiña que hay en sus manos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,9,Nínive se arrepiente,"¿Quién sabe si se volverá y se arrepentirá Dios, y se apartará del ardor de su ira, y no pereceremos?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,3,10,Nínive se arrepiente,"Y vio Dios lo que hicieron, que se convirtieron de su mal camino; y se arrepintió del mal que había dicho que les haría, y no lo hizo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=3&version=rv60
jonas,4,1,El enojo de Jonás,"Pero Jonás se apesadumbró en extremo, y se enojó.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,2,El enojo de Jonás,"Y oró a Jehová y dijo: Ahora, oh Jehová, ¿no es esto lo que yo decía estando aún en mi tierra? Por eso me apresuré a huir a Tarsis; porque sabía yo que tú eres Dios clemente y piadoso, tardo en enojarte, y de grande misericordia, y que te arrepientes del mal.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,3,El enojo de Jonás,"Ahora pues, oh Jehová, te ruego que me quites la vida; porque mejor me es la muerte que la vida.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,4,El enojo de Jonás,Y Jehová le dijo: ¿Haces tú bien en enojarte tanto?,https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,5,El enojo de Jonás,"Y salió Jonás de la ciudad, y acampó hacia el oriente de la ciudad, y se hizo allí una enramada, y se sentó debajo de ella a la sombra, hasta ver qué acontecería en la ciudad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,6,El enojo de Jonás,"Y preparó Jehová Dios una calabacera, la cual creció sobre Jonás para que hiciese sombra sobre su cabeza, y le librase de su malestar; y Jonás se alegró grandemente por la calabacera.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,7,El enojo de Jonás,"Pero al venir el alba del día siguiente, Dios preparó un gusano, el cual hirió la calabacera, y se secó.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,8,El enojo de Jonás,"Y aconteció que al salir el sol, preparó Dios un recio viento solano, y el sol hirió a Jonás en la cabeza, y se desmayaba, y deseaba la muerte, diciendo: Mejor sería para mí la muerte que la vida.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,9,El enojo de Jonás,"Entonces dijo Dios a Jonás: ¿Tanto te enojas por la calabacera? Y él respondió: Mucho me enojo, hasta la muerte.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,10,El enojo de Jonás,"Y dijo Jehová: Tuviste tú lástima de la calabacera, en la cual no trabajaste, ni tú la hiciste crecer; que en espacio de una noche nació, y en espacio de otra noche pereció.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
jonas,4,11,El enojo de Jonás,"¿Y no tendré yo piedad de Nínive, aquella gran ciudad donde hay más de ciento veinte mil personas que no saben discernir entre su mano derecha y su mano izquierda, y muchos animales?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=jonas&capitulo=4&version=rv60
