book,chapter,verse,subtitle,text,source_url
nahum,1,1,La ira vengadora de Dios,Profecía sobre Nínive. Libro de la visión de Nahum de Elcos.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,2,La ira vengadora de Dios,"Jehová es Dios celoso y vengador; Jehová es vengador y lleno de indignación; se venga de sus adversarios, y guarda enojo para sus enemigos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,3,La ira vengadora de Dios,"Jehová es tardo para la ira y grande en poder, y no tendrá por inocente al culpable. Jehová marcha en la tempestad y el torbellino, y las nubes son el polvo de sus pies.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,4,La ira vengadora de Dios,"El amenaza al mar, y lo hace secar, y angosta todos los ríos; Basán fue destruido, y el Carmelo, y la flor del Líbano fue destruida.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,5,La ira vengadora de Dios,"Los montes tiemblan delante de él, y los collados se derriten; la tierra se conmueve a su presencia, y el mundo, y todos los que en él habitan.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,6,La ira vengadora de Dios,"¿Quién permanecerá delante de su ira? ¿y quién quedará en pie en el ardor de su enojo? Su ira se derrama como fuego, y por él se hienden las peñas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,7,La ira vengadora de Dios,"Jehová es bueno, fortaleza en el día de la angustia; y conoce a los que en él confían.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,8,La ira vengadora de Dios,"Mas con inundación impetuosa consumirá a sus adversarios, y tinieblas perseguirán a sus enemigos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,9,La ira vengadora de Dios,¿Qué pensáis contra Jehová? El hará consumación; no tomará venganza dos veces de sus enemigos.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,10,La ira vengadora de Dios,"Aunque sean como espinos entretejidos, y estén empapados en su embriaguez, serán consumidos como hojarasca completamente seca.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,11,La ira vengadora de Dios,"De ti salió el que imaginó mal contra Jehová, un consejero perverso.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,12,La ira vengadora de Dios,"Así ha dicho Jehová: Aunque reposo tengan, y sean tantos, aun así serán talados, y él pasará. Bastante te he afligido; no te afligiré ya más.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,13,La ira vengadora de Dios,"Porque ahora quebraré su yugo de sobre ti, y romperé tus coyundas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,14,La ira vengadora de Dios,"Mas acerca de ti mandará Jehová, que no quede ni memoria de tu nombre; de la casa de tu dios destruiré escultura y estatua de fundición; allí pondré tu sepulcro, porque fuiste vil.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,1,15,Anuncio de la caída de Nínive,"He aquí sobre los montes los pies del que trae buenas nuevas, del que anuncia la paz. Celebra, oh Judá, tus fiestas, cumple tus votos; porque nunca más volverá a pasar por ti el malvado; pereció del todo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60
nahum,2,1,,"Subió destruidor contra ti; guarda la fortaleza, vigila el camino, cíñete los lomos, refuerza mucho tu poder.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60
nahum,2,2,,"Porque Jehová restaurará la gloria de Jacob como la gloria de Israel; porque saqueadores los saquearon, y estropearon sus mugrones.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60
nahum,2,3,,"El escudo de sus valientes estará enrojecido, los varones de su ejército vestidos de grana; el carro como fuego de antorchas; el día que se prepare, temblarán las hayas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60
nahum,2,4,,"Los carros se precipitarán a las plazas, con estruendo rodarán por las calles; su aspecto será como antorchas encendidas, correrán como relámpagos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60
