book,chapter,verse,subtitle,text,source_url
habacuc,1,1,Habacuc se queja de injusticia,La profecía que vio el profeta Habacuc.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,2,Habacuc se queja de injusticia,"¿Hasta cuándo, oh Jehová, clamaré, y no oirás; y daré voces a ti a causa de la violencia, y no salvarás?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,3,Habacuc se queja de injusticia,"¿Por qué me haces ver iniquidad, y haces que vea molestia? Destrucción y violencia están delante de mí, y pleito y contienda se levantan.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,4,Habacuc se queja de injusticia,"Por lo cual la ley es debilitada, y el juicio no sale según la verdad; por cuanto el impío asedia al justo, por eso sale torcida la justicia.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,5,Los caldeos castigarán a Judá,"Mirad entre las naciones, y ved, y asombraos; porque haré una obra en vuestros días, que aun cuando se os contare, no la creeréis.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,6,Los caldeos castigarán a Judá,"Porque he aquí, yo levanto a los caldeos, nación cruel y presurosa, que camina por la anchura de la tierra para poseer las moradas ajenas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,7,Los caldeos castigarán a Judá,Formidable es y terrible; de ella misma procede su justicia y su dignidad.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,8,Los caldeos castigarán a Judá,"Sus caballos serán más ligeros que leopardos, y más feroces que lobos nocturnos, y sus jinetes se multiplicarán; vendrán de lejos sus jinetes, y volarán como águilas que se apresuran a devorar.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,9,Los caldeos castigarán a Judá,"Toda ella vendrá a la presa; el terror va delante de ella, y recogerá cautivos como arena.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
habacuc,1,10,Los caldeos castigarán a Judá,"Escarnecerá a los reyes, y de los príncipes hará burla; se reirá de toda fortaleza, y levantará terraplén y la tomará.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60
