book,chapter,verse,subtitle,text,source_url
malaquias,1,1,Amor de Jehová por Jacob,"Profecía de la palabra de Jehová contra Israel, por medio de Malaquías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,2,Amor de Jehová por Jacob,"Yo os he amado, dice Jehová; y dijisteis: ¿En qué nos amaste? ¿No era Esaú hermano de Jacob? dice Jehová. Y amé a Jacob, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,3,Amor de Jehová por Jacob,"y a Esaú aborrecí, y convertí sus montes en desolación, y abandoné su heredad para los chacales del desierto. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,4,Amor de Jehová por Jacob,"Cuando Edom dijere: Nos hemos empobrecido, pero volveremos a edificar lo arruinado; así ha dicho Jehová de los ejércitos: Ellos edificarán, y yo destruiré; y les llamarán territorio de impiedad, y pueblo contra el cual Jehová está indignado para siempre. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,5,Amor de Jehová por Jacob,"Y vuestros ojos lo verán, y diréis: Sea Jehová engrandecido más allá de los límites de Israel. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,6,Jehová reprende a los sacerdotes,"El hijo honra al padre, y el siervo a su señor. Si, pues, soy yo padre, ¿dónde está mi honra? y si soy señor, ¿dónde está mi temor? dice Jehová de los ejércitos a vosotros, oh sacerdotes, que menospreciáis mi nombre. Y decís: ¿En qué hemos menospreciado tu nombre? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,7,Jehová reprende a los sacerdotes,En que ofrecéis sobre mi altar pan inmundo. Y dijisteis: ¿En qué te hemos deshonrado? En que pensáis que la mesa de Jehová es despreciable. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,8,Jehová reprende a los sacerdotes,"Y cuando ofrecéis el animal ciego para el sacrificio, ¿no es malo? Asimismo cuando ofrecéis el cojo o el enfermo, ¿no es malo? Preséntalo, pues, a tu príncipe; ¿acaso se agradará de ti, o le serás acepto? dice Jehová de los ejércitos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,9,Jehová reprende a los sacerdotes,"Ahora, pues, orad por el favor de Dios, para que tenga piedad de nosotros. Pero ¿cómo podéis agradarle, si hacéis estas cosas? dice Jehová de los ejércitos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
malaquias,1,10,Jehová reprende a los sacerdotes,"¿Quién también hay de vosotros que cierre las puertas o alumbre mi altar de balde? Yo no tengo complacencia en vosotros, dice Jehová de los ejércitos, ni de vuestra mano aceptaré ofrenda. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60
