book,chapter,verse,subtitle,text,source_url
levitico,1,1,Los holocaustos,"Llamó Jehová a Moisés, y habló con él desde el tabernáculo de reunión, diciendo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,2,Los holocaustos,"Habla a los hijos de Israel y diles: Cuando alguno de entre vosotros ofrece ofrenda a Jehová, de ganado vacuno u ovejuno haréis vuestra ofrenda.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,3,Los holocaustos,"Si su ofrenda fuere holocausto vacuno, macho sin defecto lo ofrecerá; de su voluntad lo ofrecerá a la puerta del tabernáculo de reunión delante de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,4,Los holocaustos,"Y pondrá su mano sobre la cabeza del holocausto, y será aceptado para expiación suya.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,5,Los holocaustos,"Entonces degollará el becerro en la presencia de Jehová; y los sacerdotes hijos de Aarón ofrecerán la sangre, y la rociarán alrededor sobre el altar, el cual está a la puerta del tabernáculo de reunión.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,6,Los holocaustos,"Y desollará el holocausto, y lo dividirá en sus piezas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,7,Los holocaustos,"Y los hijos del sacerdote Aarón pondrán fuego sobre el altar, y compondrán la leña sobre el fuego.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,8,Los holocaustos,"Luego los sacerdotes hijos de Aarón acomodarán las piezas, la cabeza y la grosura de los intestinos, sobre la leña que está sobre el fuego que habrá encima del altar;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,9,Los holocaustos,"y lavará con agua los intestinos y las piernas, y el sacerdote hará arder todo sobre el altar; holocausto es, ofrenda encendida de olor grato para Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,10,Los holocaustos,"Si su ofrenda para holocausto fuere del rebaño, de las ovejas o de las cabras, macho sin defecto lo ofrecerá.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,11,Los holocaustos,Y lo degollará al lado norte del altar delante de Jehová; y los sacerdotes hijos de Aarón rociarán su sangre sobre el altar alrededor.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,12,Los holocaustos,"Lo dividirá en sus piezas, con su cabeza y la grosura de los intestinos; y el sacerdote las acomodará sobre la leña que está sobre el fuego que habrá encima del altar;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,13,Los holocaustos,"y lavará las entrañas y las piernas con agua; y el sacerdote lo ofrecerá todo, y lo hará arder sobre el altar; holocausto es, ofrenda encendida de olor grato para Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,14,Los holocaustos,"Si la ofrenda para Jehová fuere holocausto de aves, presentará su ofrenda de tórtolas, o de palominos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,15,Los holocaustos,"Y el sacerdote la ofrecerá sobre el altar, y le quitará la cabeza, y hará que arda en el altar; y su sangre será exprimida sobre la pared del altar.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,16,Los holocaustos,"Y le quitará el buche y las plumas, lo cual echará junto al altar, hacia el oriente, en el lugar de las cenizas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,1,17,Los holocaustos,"Y la henderá por sus alas, pero no la dividirá en dos; y el sacerdote la hará arder sobre el altar, sobre la leña que estará en el fuego; holocausto es, ofrenda encendida de olor grato para Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60
levitico,2,1,Las ofrendas,"Cuando alguna persona ofreciere oblación a Jehová, su ofrenda será flor de harina, sobre la cual echará aceite, y pondrá sobre ella incienso,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,2,Las ofrendas,"y la traerá a los sacerdotes, hijos de Aarón; y de ello tomará el sacerdote su puño lleno de la flor de harina y del aceite, con todo el incienso, y lo hará arder sobre el altar para memorial; ofrenda encendida es, de olor grato a Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,3,Las ofrendas,Y lo que resta de la ofrenda será de Aarón y de sus hijos; es cosa santísima de las ofrendas que se queman para Jehová.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,4,Las ofrendas,"Cuando ofrecieres ofrenda cocida en horno, será de tortas de flor de harina sin levadura amasadas con aceite, y hojaldres sin levadura untadas con aceite.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,5,Las ofrendas,"Mas si ofrecieres ofrenda de sartén, será de flor de harina sin levadura, amasada con aceite,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,6,Las ofrendas,"la cual partirás en piezas, y echarás sobre ella aceite; es ofrenda.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,7,Las ofrendas,"Si ofrecieres ofrenda cocida en cazuela, se hará de flor de harina con aceite.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,8,Las ofrendas,"Y traerás a Jehová la ofrenda que se hará de estas cosas, y la presentarás al sacerdote, el cual la llevará al altar.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,9,Las ofrendas,"Y tomará el sacerdote de aquella ofrenda lo que sea para su memorial, y lo hará arder sobre el altar; ofrenda encendida de olor grato a Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,10,Las ofrendas,Y lo que resta de la ofrenda será de Aarón y de sus hijos; es cosa santísima de las ofrendas que se queman para Jehová.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,11,Las ofrendas,"Ninguna ofrenda que ofreciereis a Jehová será con levadura; porque de ninguna cosa leuda, ni de ninguna miel, se ha de quemar ofrenda para Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,12,Las ofrendas,Como ofrenda de primicias las ofreceréis a Jehová; mas no subirán sobre el altar en olor grato.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,13,Las ofrendas,"Y sazonarás con sal toda ofrenda que presentes, y no harás que falte jamás de tu ofrenda la sal del pacto de tu Dios; en toda ofrenda tuya ofrecerás sal.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,14,Las ofrendas,"Si ofrecieres a Jehová ofrenda de primicias, tostarás al fuego las espigas verdes, y el grano desmenuzado ofrecerás como ofrenda de tus primicias.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,15,Las ofrendas,"Y pondrás sobre ella aceite, y pondrás sobre ella incienso; es ofrenda.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,2,16,Las ofrendas,"Y el sacerdote hará arder el memorial de él, parte del grano desmenuzado y del aceite, con todo el incienso; es ofrenda encendida para Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=2&version=rv60
levitico,3,1,Ofrendas de paz,"Si su ofrenda fuere sacrificio de paz, si hubiere de ofrecerla de ganado vacuno, sea macho o hembra, sin defecto la ofrecerá delante de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,2,Ofrendas de paz,"Pondrá su mano sobre la cabeza de su ofrenda, y la degollará a la puerta del tabernáculo de reunión; y los sacerdotes hijos de Aarón rociarán su sangre sobre el altar alrededor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,3,Ofrendas de paz,"Luego ofrecerá del sacrificio de paz, como ofrenda encendida a Jehová, la grosura que cubre los intestinos, y toda la grosura que está sobre las entrañas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,4,Ofrendas de paz,"y los dos riñones y la grosura que está sobre ellos, y sobre los ijares; y con los riñones quitará la grosura de los intestinos que está sobre el hígado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,5,Ofrendas de paz,"Y los hijos de Aarón harán arder esto en el altar, sobre el holocausto que estará sobre la leña que habrá encima del fuego; es ofrenda de olor grato para Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,6,Ofrendas de paz,"Mas si de ovejas fuere su ofrenda para sacrificio de paz a Jehová, sea macho o hembra, la ofrecerá sin defecto.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,7,Ofrendas de paz,"Si ofreciere cordero por su ofrenda, lo ofrecerá delante de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,8,Ofrendas de paz,"Pondrá su mano sobre la cabeza de su ofrenda, y después la degollará delante del tabernáculo de reunión; y los hijos de Aarón rociarán su sangre sobre el altar alrededor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,9,Ofrendas de paz,"Y del sacrificio de paz ofrecerá por ofrenda encendida a Jehová la grosura, la cola entera, la cual quitará a raíz del espinazo, la grosura que cubre todos los intestinos, y toda la que está sobre las entrañas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,10,Ofrendas de paz,"Asimismo los dos riñones y la grosura que está sobre ellos, y la que está sobre los ijares; y con los riñones quitará la grosura de sobre el hígado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,11,Ofrendas de paz,Y el sacerdote hará arder esto sobre el altar; vianda es de ofrenda encendida para Jehová.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,12,Ofrendas de paz,"Si fuere cabra su ofrenda, la ofrecerá delante de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,13,Ofrendas de paz,"Pondrá su mano sobre la cabeza de ella, y la degollará delante del tabernáculo de reunión; y los hijos de Aarón rociarán su sangre sobre el altar alrededor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,14,Ofrendas de paz,"Después ofrecerá de ella su ofrenda encendida a Jehová; la grosura que cubre los intestinos, y toda la grosura que está sobre las entrañas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,15,Ofrendas de paz,"los dos riñones, la grosura que está sobre ellos, y la que está sobre los ijares; y con los riñones quitará la grosura de sobre el hígado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,16,Ofrendas de paz,Y el sacerdote hará arder esto sobre el altar; vianda es de ofrenda que se quema en olor grato a Jehová; toda la grosura es de Jehová.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,3,17,Ofrendas de paz,"Estatuto perpetuo será por vuestras edades, dondequiera que habitéis, que ninguna grosura ni ninguna sangre comeréis.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=3&version=rv60
levitico,4,1,Ofrendas por el pecado,"Habló Jehová a Moisés, diciendo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
levitico,4,2,Ofrendas por el pecado,"Habla a los hijos de Israel y diles: Cuando alguna persona pecare por yerro en alguno de los mandamientos de Jehová sobre cosas que no se han de hacer, e hiciere alguna de ellas;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
levitico,4,3,Ofrendas por el pecado,"si el sacerdote ungido pecare según el pecado del pueblo, ofrecerá a Jehová, por su pecado que habrá cometido, un becerro sin defecto para expiación.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
levitico,4,4,Ofrendas por el pecado,"Traerá el becerro a la puerta del tabernáculo de reunión delante de Jehová, y pondrá su mano sobre la cabeza del becerro, y lo degollará delante de Jehová.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
levitico,4,5,Ofrendas por el pecado,"Y el sacerdote ungido tomará de la sangre del becerro, y la traerá al tabernáculo de reunión;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
levitico,4,6,Ofrendas por el pecado,"y mojará el sacerdote su dedo en la sangre, y rociará de aquella sangre siete veces delante de Jehová, hacia el velo del santuario.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
levitico,4,7,Ofrendas por el pecado,"Y el sacerdote pondrá de esa sangre sobre los cuernos del altar del incienso aromático, que está en el tabernáculo de reunión delante de Jehová; y echará el resto de la sangre del becerro al pie del altar del holocausto, que está a la puerta del tabernáculo de reunión.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=4&version=rv60
