book,chapter,verse,subtitle,text,source_url
mateo,1,1,Genealogía de Jesucristo,"Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,2,Genealogía de Jesucristo,"Abraham engendró a Isaac, Isaac a Jacob, y Jacob a Judá y a sus hermanos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,3,Genealogía de Jesucristo,"Judá engendró de Tamar a Fares y a Zara, Fares a Esrom, y Esrom a Aram. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,4,Genealogía de Jesucristo,"Aram engendró a Aminadab, Aminadab a Naasón, y Naasón a Salmón. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,5,Genealogía de Jesucristo,"Salmón engendró de Rahab a Booz, Booz engendró de Rut a Obed, y Obed a Isa. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,6,Genealogía de Jesucristo,"Isaí engendró al rey David, y el rey David engendró a Salomón de la que fue mujer de Urías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,7,Genealogía de Jesucristo,"Salomón engendró a Roboam, Roboam a Abías, y Abías a Asa. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,8,Genealogía de Jesucristo,"Asa engendró a Josafat, Josafat a Joram, y Joram a Uzías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,9,Genealogía de Jesucristo,"Uzías engendró a Jotam, Jotam a Acaz, y Acaz a Ezequías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,10,Genealogía de Jesucristo,"Ezequías engendró a Manasés, Manasés a Amón, y Amón a Josías. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,11,Genealogía de Jesucristo,"Josías engendró a Jeconías y a sus hermanos, en el tiempo de la deportación a Babilonia. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,12,Genealogía de Jesucristo,"Después de la deportación a Babilonia, Jeconías engendró a Salatiel, y Salatiel a Zorobabel. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,13,Genealogía de Jesucristo,"Zorobabel engendró a Abiud, Abiud a Eliaquim, y Eliaquim a Azor. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,14,Genealogía de Jesucristo,"Azor engendró a Sadoc, Sadoc a Aquim, y Aquim a Eliud. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,15,Genealogía de Jesucristo,"Eliud engendró a Eleazar, Eleazar a Matán, Matán a Jacob; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
mateo,1,16,Genealogía de Jesucristo,"y Jacob engendró a José, marido de María, de la cual nació Jesús, llamado el Cristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60
