book,chapter,verse,subtitle,text,source_url
juan,1,1,El Verbo hecho carne,"En el principio era el Verbo, y el Verbo era con Dios, y el Verbo era Dios. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,2,El Verbo hecho carne,Este era en el principio con Dios. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,3,El Verbo hecho carne,"Todas las cosas por él fueron hechas, y sin él nada de lo que ha sido hecho, fue hecho. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,4,El Verbo hecho carne,"En él estaba la vida, y la vida era la luz de los hombres. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,5,El Verbo hecho carne,"La luz en las tinieblas resplandece, y las tinieblas no prevalecieron contra ella. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,6,El Verbo hecho carne,"Hubo un hombre enviado de Dios, el cual se llamaba Juan. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,7,El Verbo hecho carne,"Este vino por testimonio, para que diese testimonio de la luz, a fin de que todos creyesen por él. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,8,El Verbo hecho carne,"No era él la luz, sino para que diese testimonio de la luz. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,9,El Verbo hecho carne,"Aquella luz verdadera, que alumbra a todo hombre, venía a este mundo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,10,El Verbo hecho carne,"En el mundo estaba, y el mundo por él fue hecho; pero el mundo no le conoció. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,11,El Verbo hecho carne,"A lo suyo vino, y los suyos no le recibieron. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,12,El Verbo hecho carne,"Mas a todos los que le recibieron, a los que creen en su nombre, les dio potestad de ser hechos hijos de Dios; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,13,El Verbo hecho carne,"los cuales no son engendrados de sangre, ni de voluntad de carne, ni de voluntad de varón, sino de Dios. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,14,El Verbo hecho carne,"Y aquel Verbo fue hecho carne, y habitó entre nosotros (y vimos su gloria, gloria como del unigénito del Padre), lleno de gracia y de verdad. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,15,El Verbo hecho carne,"Juan dio testimonio de él, y clamó diciendo: Este es de quien yo decía: El que viene después de mí, es antes de mí; porque era primero que yo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,16,El Verbo hecho carne,"Porque de su plenitud tomamos todos, y gracia sobre gracia. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,17,El Verbo hecho carne,"Pues la ley por medio de Moisés fue dada, pero la gracia y la verdad vinieron por medio de Jesucristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
juan,1,18,El Verbo hecho carne,"A Dios nadie le vio jamás; el unigénito Hijo, que está en el seno del Padre, él le ha dado a conocer. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=juan&capitulo=1&version=rv60
