book,chapter,verse,subtitle,text,source_url
2-corintios,1,1,Salutación,"Pablo, apóstol de Jesucristo por la voluntad de Dios, y el hermano Timoteo, a la iglesia de Dios que está en Corinto, con todos los santos que están en toda Acaya: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,2,Salutación,"Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,3,Aflicciones de Pablo,"Bendito sea el Dios y Padre de nuestro Señor Jesucristo, Padre de misericordias y Dios de toda consolación, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,4,Aflicciones de Pablo,"el cual nos consuela en todas nuestras tribulaciones, para que podamos también nosotros consolar a los que están en cualquier tribulación, por medio de la consolación con que nosotros somos consolados por Dios. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,5,Aflicciones de Pablo,"Porque de la manera que abundan en nosotros las aflicciones de Cristo, así abunda también por el mismo Cristo nuestra consolación. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,6,Aflicciones de Pablo,"Pero si somos atribulados, es para vuestra consolación y salvación; o si somos consolados, es para vuestra consolación y salvación, la cual se opera en el sufrir las mismas aflicciones que nosotros también padecemos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,7,Aflicciones de Pablo,"Y nuestra esperanza respecto de vosotros es firme, pues sabemos que así como sois compañeros en las aflicciones, también lo sois en la consolación. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,8,Aflicciones de Pablo,"Porque hermanos, no queremos que ignoréis acerca de nuestra tribulación que nos sobrevino en Asia; pues fuimos abrumados sobremanera más allá de nuestras fuerzas, de tal modo que aun perdimos la esperanza de conservar la vida. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,9,Aflicciones de Pablo,"Pero tuvimos en nosotros mismos sentencia de muerte, para que no confiásemos en nosotros mismos, sino en Dios que resucita a los muertos; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,10,Aflicciones de Pablo,"el cual nos libró, y nos libra, y en quien esperamos que aún nos librará, de tan gran muerte; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
2-corintios,1,11,Aflicciones de Pablo,"cooperando también vosotros a favor nuestro con la oración, para que por muchas personas sean dadas gracias a favor nuestro por el don concedido a nosotros por medio de muchos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-corintios&capitulo=1&version=rv60
