book,chapter,verse,subtitle,text,source_url
galatas,1,1,Salutación,"Pablo, apóstol (no de hombres ni por hombre, sino por Jesucristo y por Dios el Padre que lo resucitó de los muertos), ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,2,Salutación,"y todos los hermanos que están conmigo, a las iglesias de Galacia: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,3,Salutación,"Gracia y paz sean a vosotros, de Dios el Padre y de nuestro Señor Jesucristo, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,4,Salutación,"el cual se dio a sí mismo por nuestros pecados para librarnos del presente siglo malo, conforme a la voluntad de nuestro Dios y Padre, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,5,Salutación,a quien sea la gloria por los siglos de los siglos. Amén. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,6,No hay otro evangelio,"Estoy maravillado de que tan pronto os hayáis alejado del que os llamó por la gracia de Cristo, para seguir un evangelio diferente. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,7,No hay otro evangelio,"No que haya otro, sino que hay algunos que os perturban y quieren pervertir el evangelio de Cristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,8,No hay otro evangelio,"Mas si aun nosotros, o un ángel del cielo, os anunciare otro evangelio diferente del que os hemos anunciado, sea anatema. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,9,No hay otro evangelio,"Como antes hemos dicho, también ahora lo repito: Si alguno os predica diferente evangelio del que habéis recibido, sea anatema. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,10,No hay otro evangelio,"Pues, ¿busco ahora el favor de los hombres, o el de Dios? ¿O trato de agradar a los hombres? Pues si todavía agradara a los hombres, no sería siervo de Cristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,11,El ministerio de Pablo,"Mas os hago saber, hermanos, que el evangelio anunciado por mí, no es según hombre; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,12,El ministerio de Pablo,"pues yo ni lo recibí ni lo aprendí de hombre alguno, sino por revelación de Jesucristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,13,El ministerio de Pablo,"Porque ya habéis oído acerca de mi conducta en otro tiempo en el judaísmo, que perseguía sobremanera a la iglesia de Dios, y la asolaba; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,14,El ministerio de Pablo,"y en el judaísmo aventajaba a muchos de mis contemporáneos en mi nación, siendo mucho más celoso de las tradiciones de mis padres. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,15,El ministerio de Pablo,"Pero cuando agradó a Dios, que me apartó desde el vientre de mi madre, y me llamó por su gracia, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,16,El ministerio de Pablo,"revelar a su Hijo en mí, para que yo le predicase entre los gentiles, no consulté en seguida con carne y sangre, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,17,El ministerio de Pablo,"ni subí a Jerusalén a los que eran apóstoles antes que yo; sino que fui a Arabia, y volví de nuevo a Damasco. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,18,El ministerio de Pablo,"Después, pasados tres años, subí a Jerusalén para ver a Pedro, y permanecí con él quince días; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,19,El ministerio de Pablo,"pero no vi a ningún otro de los apóstoles, sino a Jacobo el hermano del Señor. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,20,El ministerio de Pablo,"En esto que os escribo, he aquí delante de Dios que no miento. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,21,El ministerio de Pablo,"Después fui a las regiones de Siria y de Cilicia, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,22,El ministerio de Pablo,"y no era conocido de vista a las iglesias de Judea, que eran en Cristo; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,23,El ministerio de Pablo,"solamente oían decir: Aquel que en otro tiempo nos perseguía, ahora predica la fe que en otro tiempo asolaba. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,1,24,El ministerio de Pablo,Y glorificaban a Dios en mí. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60
galatas,2,1,,"Después, pasados catorce años, subí otra vez a Jerusalén con Bernabé, llevando también conmigo a Tito. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,2,,"Pero subí según una revelación, y para no correr o haber corrido en vano, expuse en privado a los que tenían cierta reputación el evangelio que predico entre los gentiles. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,3,,"Mas ni aun Tito, que estaba conmigo, con todo y ser griego, fue obligado a circuncidarse; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,4,,"y esto a pesar de los falsos hermanos introducidos a escondidas, que entraban para espiar nuestra libertad que tenemos en Cristo Jesús, para reducirnos a esclavitud, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,5,,"a los cuales ni por un momento accedimos a someternos, para que la verdad del evangelio permaneciese con vosotros. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,6,,"Pero de los que tenían reputación de ser algo (lo que hayan sido en otro tiempo nada me importa; Dios no hace acepción de personas), a mí, pues, los de reputación nada nuevo me comunicaron. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,7,,"Antes por el contrario, como vieron que me había sido encomendado el evangelio de la incircuncisión, como a Pedro el de la circuncisión ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,8,,"(pues el que actuó en Pedro para el apostolado de la circuncisión, actuó también en mí para con los gentiles), ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,9,,"y reconociendo la gracia que me había sido dada, Jacobo, Cefas y Juan, que eran considerados como columnas, nos dieron a mí y a Bernabé la diestra en señal de compañerismo, para que nosotros fuésemos a los gentiles, y ellos a la circuncisión. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,10,,Solamente nos pidieron que nos acordásemos de los pobres; lo cual también procuré con diligencia hacer. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,11,Pablo reprende a Pedro en Antioquía,"Pero cuando Pedro vino a Antioquía, le resistí cara a cara, porque era de condenar. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,12,Pablo reprende a Pedro en Antioquía,"Pues antes que viniesen algunos de parte de Jacobo, comía con los gentiles; pero después que vinieron, se retraía y se apartaba, porque tenía miedo de los de la circuncisión. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,13,Pablo reprende a Pedro en Antioquía,"Y en su simulación participaban también los otros judíos, de tal manera que aun Bernabé fue también arrastrado por la hipocresía de ellos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,14,Pablo reprende a Pedro en Antioquía,"Pero cuando vi que no andaban rectamente conforme a la verdad del evangelio, dije a Pedro delante de todos: Si tú, siendo judío, vives como los gentiles y no como judío, ¿por qué obligas a los gentiles a judaizar? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,15,Pablo reprende a Pedro en Antioquía,"Nosotros, judíos de nacimiento, y no pecadores de entre los gentiles, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,16,Pablo reprende a Pedro en Antioquía,"sabiendo que el hombre no es justificado por las obras de la ley, sino por la fe de Jesucristo, nosotros también hemos creído en Jesucristo, para ser justificados por la fe de Cristo y no por las obras de la ley, por cuanto por las obras de la ley nadie será justificado. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,17,Pablo reprende a Pedro en Antioquía,"Y si buscando ser justificados en Cristo, también nosotros somos hallados pecadores, ¿es por eso Cristo ministro de pecado? En ninguna manera. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,18,Pablo reprende a Pedro en Antioquía,"Porque si las cosas que destruí, las mismas vuelvo a edificar, transgresor me hago. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,19,Pablo reprende a Pedro en Antioquía,"Porque yo por la ley soy muerto para la ley, a fin de vivir para Dios. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,20,Pablo reprende a Pedro en Antioquía,"Con Cristo estoy juntamente crucificado, y ya no vivo yo, mas vive Cristo en mí; y lo que ahora vivo en la carne, lo vivo en la fe del Hijo de Dios, el cual me amó y se entregó a sí mismo por mí. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,2,21,Pablo reprende a Pedro en Antioquía,"No desecho la gracia de Dios; pues si por la ley fuese la justicia, entonces por demás murió Cristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=2&version=rv60
galatas,3,1,El Espíritu se recibe por la fe,"¡Oh gálatas insensatos! ¿quién os fascinó para no obedecer a la verdad, a vosotros ante cuyos ojos Jesucristo fue ya presentado claramente entre vosotros como crucificado? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,2,El Espíritu se recibe por la fe,"Esto solo quiero saber de vosotros: ¿Recibisteis el Espíritu por las obras de la ley, o por el oír con fe? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,3,El Espíritu se recibe por la fe,"¿Tan necios sois? ¿Habiendo comenzado por el Espíritu, ahora vais a acabar por la carne? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,4,El Espíritu se recibe por la fe,¿Tantas cosas habéis padecido en vano? si es que realmente fue en vano. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,5,El Espíritu se recibe por la fe,"Aquel, pues, que os suministra el Espíritu, y hace maravillas entre vosotros, ¿lo hace por las obras de la ley, o por el oír con fe? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,6,El pacto de Dios con Abraham,"Así Abraham creyó a Dios, y le fue contado por justicia. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,7,El pacto de Dios con Abraham,"Sabed, por tanto, que los que son de fe, éstos son hijos de Abraham. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,8,El pacto de Dios con Abraham,"Y la Escritura, previendo que Dios había de justificar por la fe a los gentiles, dio de antemano la buena nueva a Abraham, diciendo: En ti serán benditas todas las naciones. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,9,El pacto de Dios con Abraham,De modo que los de la fe son bendecidos con el creyente Abraham. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,10,El pacto de Dios con Abraham,"Porque todos los que dependen de las obras de la ley están bajo maldición, pues escrito está: Maldito todo aquel que no permaneciere en todas las cosas escritas en el libro de la ley, para hacerlas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
galatas,3,11,El pacto de Dios con Abraham,"Y que por la ley ninguno se justifica para con Dios, es evidente, porque: El justo por la fe vivirá; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=3&version=rv60
