book,chapter,verse,subtitle,text,source_url
efesios,1,1,Salutación,"Pablo, apóstol de Jesucristo por la voluntad de Dios, a los santos y fieles en Cristo Jesús que están en Efeso:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,2,Salutación,"Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,3,Bendiciones espirituales en Cristo,"Bendito sea el Dios y Padre de nuestro Señor Jesucristo, que nos bendijo con toda bendición espiritual en los lugares celestiales en Cristo,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,4,Bendiciones espirituales en Cristo,"según nos escogió en él antes de la fundación del mundo, para que fuésemos santos y sin mancha delante de él,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,5,Bendiciones espirituales en Cristo,"en amor habiéndonos predestinado para ser adoptados hijos suyos por medio de Jesucristo, según el puro afecto de su voluntad,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,6,Bendiciones espirituales en Cristo,"para alabanza de la gloria de su gracia, con la cual nos hizo aceptos en el Amado,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,7,Bendiciones espirituales en Cristo,"en quien tenemos redención por su sangre, el perdón de pecados según las riquezas de su gracia,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,8,Bendiciones espirituales en Cristo,"que hizo sobreabundar para con nosotros en toda sabiduría e inteligencia,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,9,Bendiciones espirituales en Cristo,"dándonos a conocer el misterio de su voluntad, según su beneplácito, el cual se había propuesto en sí mismo,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,10,Bendiciones espirituales en Cristo,"de reunir todas las cosas en Cristo, en la dispensación del cumplimiento de los tiempos, así las que están en los cielos, como las que están en la tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,11,Bendiciones espirituales en Cristo,"En él asimismo tuvimos herencia, habiendo sido predestinados conforme al propósito del que hace todas las cosas según el designio de su voluntad,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,12,Bendiciones espirituales en Cristo,"a fin de que seamos para alabanza de su gloria, nosotros los que primeramente esperábamos en Cristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,13,Bendiciones espirituales en Cristo,"En él también vosotros, habiendo oído la palabra de verdad, el evangelio de vuestra salvación, y habiendo creído en él, fuisteis sellados con el Espíritu Santo de la promesa,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,14,Bendiciones espirituales en Cristo,"que es las arras de nuestra herencia hasta la redención de la posesión adquirida, para alabanza de su gloria.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,15,El espíritu de sabiduría y de revelación,"Por esta causa también yo, habiendo oído de vuestra fe en el Señor Jesús, y de vuestro amor para con todos los santos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,16,El espíritu de sabiduría y de revelación,"no ceso de dar gracias por vosotros, haciendo memoria de vosotros en mis oraciones,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,17,El espíritu de sabiduría y de revelación,"para que el Dios de nuestro Señor Jesucristo, el Padre de gloria, os dé espíritu de sabiduría y de revelación en el conocimiento de él,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,18,El espíritu de sabiduría y de revelación,"alumbrando los ojos de vuestro entendimiento, para que sepáis cuál es la esperanza a que él os ha llamado, y cuáles las riquezas de la gloria de su herencia en los santos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,19,El espíritu de sabiduría y de revelación,"y cuál la supereminente grandeza de su poder para con nosotros los que creemos, según la operación del poder de su fuerza,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,20,El espíritu de sabiduría y de revelación,"la cual operó en Cristo, resucitándole de los muertos y sentándole a su diestra en los lugares celestiales,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,21,El espíritu de sabiduría y de revelación,"sobre todo principado y autoridad y poder y señorío, y sobre todo nombre que se nombra, no sólo en este siglo, sino también en el venidero;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,22,El espíritu de sabiduría y de revelación,"y sometió todas las cosas bajo sus pies, y lo dio por cabeza sobre todas las cosas a la iglesia,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,1,23,El espíritu de sabiduría y de revelación,"la cual es su cuerpo, la plenitud de Aquel que todo lo llena en todo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=1&version=rv60
efesios,2,1,Salvos por gracia,"Y él os dio vida a vosotros, cuando estabais muertos en vuestros delitos y pecados,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,2,Salvos por gracia,"en los cuales anduvisteis en otro tiempo, siguiendo la corriente de este mundo, conforme al príncipe de la potestad del aire, el espíritu que ahora opera en los hijos de desobediencia,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,3,Salvos por gracia,"entre los cuales también todos nosotros vivimos en otro tiempo en los deseos de nuestra carne, haciendo la voluntad de la carne y de los pensamientos, y éramos por naturaleza hijos de ira, lo mismo que los demás.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,4,Salvos por gracia,"Pero Dios, que es rico en misericordia, por su gran amor con que nos amó,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,5,Salvos por gracia,"aun estando nosotros muertos en pecados, nos dio vida juntamente con Cristo (por gracia sois salvos),",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,6,Salvos por gracia,"y juntamente con él nos resucitó, y asimismo nos hizo sentar en los lugares celestiales con Cristo Jesús,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,7,Salvos por gracia,para mostrar en los siglos venideros las abundantes riquezas de su gracia en su bondad para con nosotros en Cristo Jesús.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,8,Salvos por gracia,"Porque por gracia sois salvos por medio de la fe; y esto no de vosotros, pues es don de Dios;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,9,Salvos por gracia,"no por obras, para que nadie se gloríe.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,10,Salvos por gracia,"Porque somos hechura suya, creados en Cristo Jesús para buenas obras, las cuales Dios preparó de antemano para que anduviésemos en ellas.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
efesios,2,11,Reconciliación por medio de la cruz,"Por tanto, acordaos de que en otro tiempo vosotros, los gentiles en cuanto a la carne, erais llamados incircuncisión por la llamada circuncisión hecha con mano en la carne.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=efesios&capitulo=2&version=rv60
