book,chapter,verse,subtitle,text,source_url
numeros,1,1,Censo de Israel en Sinaí,"Habló Jehová a Moisés en el desierto de Sinaí, en el tabernáculo de reunión, en el día primero del mes segundo, en el segundo año de su salida de la tierra de Egipto, diciendo: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,2,Censo de Israel en Sinaí,"Tomad el censo de toda la congregación de los hijos de Israel por sus familias, por las casas de sus padres, con la cuenta de los nombres, todos los varones por sus cabezas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,3,Censo de Israel en Sinaí,"De veinte años arriba, todos los que pueden salir a la guerra en Israel, los contaréis tú y Aarón por sus ejércitos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,4,Censo de Israel en Sinaí,"Y estará con vosotros un varón de cada tribu, cada uno jefe de la casa de sus padres. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,5,Censo de Israel en Sinaí,"Estos son los nombres de los varones que estarán con vosotros: De la tribu de Rubén, Elisur hijo de Sedeur. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,6,Censo de Israel en Sinaí,"De Simeón, Selumiel hijo de Zurisadai. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,7,Censo de Israel en Sinaí,"De Judá, Naasón hijo de Aminadab. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,8,Censo de Israel en Sinaí,"De Isacar, Natanael hijo de Zuar. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,9,Censo de Israel en Sinaí,"De Zabulón, Eliab hijo de Helón. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,10,Censo de Israel en Sinaí,"De los hijos de José: de Efraín, Elisama hijo de Amiud; de Manasés, Gamaliel hijo de Pedasur. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,11,Censo de Israel en Sinaí,"De Benjamín, Abidán hijo de Gedeoni. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,12,Censo de Israel en Sinaí,"De Dan, Ahiezer hijo de Amisadai. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,13,Censo de Israel en Sinaí,"De Aser, Pagiel hijo de Ocrán. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,14,Censo de Israel en Sinaí,"De Gad, Eliasaf hijo de Deuel. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
numeros,1,15,Censo de Israel en Sinaí,"De Neftalí, Ahira hijo de Enán. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=numeros&capitulo=1&version=rv60
