book,chapter,verse,subtitle,text,source_url
colosenses,1,1,Salutación,"Pablo, apóstol de Jesucristo por la voluntad de Dios, y el hermano Timoteo,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,2,Salutación,"a los santos y fieles hermanos en Cristo que están en Colosas: Gracia y paz sean a vosotros, de Dios nuestro Padre y del Señor Jesucristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,3,Pablo pide que Dios les conceda sabiduría espiritual,"Siempre orando por vosotros, damos gracias a Dios, Padre de nuestro Señor Jesucristo,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,4,Pablo pide que Dios les conceda sabiduría espiritual,"habiendo oído de vuestra fe en Cristo Jesús, y del amor que tenéis a todos los santos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,5,Pablo pide que Dios les conceda sabiduría espiritual,"a causa de la esperanza que os está guardada en los cielos, de la cual ya habéis oído por la palabra verdadera del evangelio,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,6,Pablo pide que Dios les conceda sabiduría espiritual,"que ha llegado hasta vosotros, así como a todo el mundo, y lleva fruto y crece también en vosotros, desde el día que oísteis y conocisteis la gracia de Dios en verdad,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,7,Pablo pide que Dios les conceda sabiduría espiritual,"como lo habéis aprendido de Epafras, nuestro consiervo amado, que es un fiel ministro de Cristo para vosotros,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,8,Pablo pide que Dios les conceda sabiduría espiritual,quien también nos ha declarado vuestro amor en el Espíritu.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,9,Pablo pide que Dios les conceda sabiduría espiritual,"Por lo cual también nosotros, desde el día que lo oímos, no cesamos de orar por vosotros, y de pedir que seáis llenos del conocimiento de su voluntad en toda sabiduría e inteligencia espiritual,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,10,Pablo pide que Dios les conceda sabiduría espiritual,"para que andéis como es digno del Señor, agradándole en todo, llevando fruto en toda buena obra, y creciendo en el conocimiento de Dios;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,11,Pablo pide que Dios les conceda sabiduría espiritual,"fortalecidos con todo poder, conforme a la potencia de su gloria, para toda paciencia y longanimidad;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,12,Pablo pide que Dios les conceda sabiduría espiritual,con gozo dando gracias al Padre que nos hizo aptos para participar de la herencia de los santos en luz;,https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,13,Pablo pide que Dios les conceda sabiduría espiritual,"el cual nos ha librado de la potestad de las tinieblas, y trasladado al reino de su amado Hijo,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,14,Pablo pide que Dios les conceda sabiduría espiritual,"en quien tenemos redención por su sangre, el perdón de pecados.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,15,Reconciliación por medio de la muerte de Cristo,"El es la imagen del Dios invisible, el primogénito de toda creación.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,16,Reconciliación por medio de la muerte de Cristo,"Porque en él fueron creadas todas las cosas, las que hay en los cielos y las que hay en la tierra, visibles e invisibles; sean tronos, sean dominios, sean principados, sean potestades; todo fue creado por medio de él y para él.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
colosenses,1,17,Reconciliación por medio de la muerte de Cristo,"Y él es antes de todas las cosas, y todas las cosas en él subsisten;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=colosenses&capitulo=1&version=rv60
