book,chapter,verse,subtitle,text,source_url
2-tesalonicenses,1,1,Salutación,"Pablo, Silvano y Timoteo, a la iglesia de los tesalonicenses en Dios nuestro Padre y en el Señor Jesucristo:",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,2,Salutación,"Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,3,Dios juzgará a los pecadores en la venida de Cristo,"Debemos siempre dar gracias a Dios por vosotros, hermanos, como es digno, por cuanto vuestra fe va creciendo, y el amor de todos y cada uno de vosotros abunda para con los demás;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,4,Dios juzgará a los pecadores en la venida de Cristo,"tanto, que nosotros mismos nos gloriamos de vosotros en las iglesias de Dios, por vuestra paciencia y fe en todas vuestras persecuciones y tribulaciones que soportáis.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,5,Dios juzgará a los pecadores en la venida de Cristo,"Esto es demostración del justo juicio de Dios, para que seáis tenidos por dignos del reino de Dios, por el cual asimismo padecéis.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,6,Dios juzgará a los pecadores en la venida de Cristo,"Porque es justo delante de Dios pagar con tribulación a los que os atribulan,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,7,Dios juzgará a los pecadores en la venida de Cristo,"y a vosotros que sois atribulados, daros reposo con nosotros, cuando se manifieste el Señor Jesús desde el cielo con los ángeles de su poder,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,8,Dios juzgará a los pecadores en la venida de Cristo,"en llama de fuego, para dar retribución a los que no conocieron a Dios, ni obedecen al evangelio de nuestro Señor Jesucristo;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,9,Dios juzgará a los pecadores en la venida de Cristo,"los cuales sufrirán pena de eterna perdición, excluidos de la presencia del Señor y de la gloria de su poder,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,10,Dios juzgará a los pecadores en la venida de Cristo,cuando venga en aquel día para ser glorificado en sus santos y ser admirado en todos los que creyeron (por cuanto nuestro testimonio ha sido creído entre vosotros).,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,11,Dios juzgará a los pecadores en la venida de Cristo,"Por lo cual asimismo oramos siempre por vosotros, para que nuestro Dios os tenga por dignos de su llamamiento, y cumpla todo propósito de bondad y toda obra de fe con su poder,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,1,12,Dios juzgará a los pecadores en la venida de Cristo,"para que el nombre de nuestro Señor Jesucristo sea glorificado en vosotros, y vosotros en él, por la gracia de nuestro Dios y del Señor Jesucristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=1&version=rv60
2-tesalonicenses,2,1,Manifestación del hombre de pecado,"Pero con respecto a la venida de nuestro Señor Jesucristo, y nuestra reunión con él, os rogamos, hermanos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,2,Manifestación del hombre de pecado,"que no os dejéis mover fácilmente de vuestro modo de pensar, ni os conturbéis, ni por espíritu, ni por palabra, ni por carta como si fuera nuestra, en el sentido de que el día del Señor está cerca.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,3,Manifestación del hombre de pecado,"Nadie os engañe en ninguna manera; porque no vendrá sin que antes venga la apostasía, y se manifieste el hombre de pecado, el hijo de perdición,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,4,Manifestación del hombre de pecado,"el cual se opone y se levanta contra todo lo que se llama Dios o es objeto de culto; tanto que se sienta en el templo de Dios como Dios, haciéndose pasar por Dios.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,5,Manifestación del hombre de pecado,"¿No os acordáis que cuando yo estaba todavía con vosotros, os decía esto?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,6,Manifestación del hombre de pecado,"Y ahora vosotros sabéis lo que lo detiene, a fin de que a su debido tiempo se manifieste.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,7,Manifestación del hombre de pecado,"Porque ya está en acción el misterio de la iniquidad; sólo que hay quien al presente lo detiene, hasta que él a su vez sea quitado de en medio.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,8,Manifestación del hombre de pecado,"Y entonces se manifestará aquel inicuo, a quien el Señor matará con el espíritu de su boca, y destruirá con el resplandor de su venida;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,9,Manifestación del hombre de pecado,"inicuo cuyo advenimiento es por obra de Satanás, con gran poder y señales y prodigios mentirosos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,10,Manifestación del hombre de pecado,"y con todo engaño de iniquidad para los que se pierden, por cuanto no recibieron el amor de la verdad para ser salvos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,11,Manifestación del hombre de pecado,"Por esto Dios les envía un poder engañoso, para que crean la mentira,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,12,Manifestación del hombre de pecado,"a fin de que sean condenados todos los que no creyeron a la verdad, sino que se complacieron en la injusticia.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,13,Escogidos para salvación,"Pero nosotros debemos dar siempre gracias a Dios respecto a vosotros, hermanos amados por el Señor, de que Dios os haya escogido desde el principio para salvación, mediante la santificación por el Espíritu y la fe en la verdad,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,14,Escogidos para salvación,"a lo cual os llamó mediante nuestro evangelio, para alcanzar la gloria de nuestro Señor Jesucristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,15,Escogidos para salvación,"Así que, hermanos, estad firmes, y retened la doctrina que habéis aprendido, sea por palabra, o por carta nuestra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,16,Escogidos para salvación,"Y el mismo Jesucristo Señor nuestro, y Dios nuestro Padre, el cual nos amó y nos dio consolación eterna y buena esperanza por gracia,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,2,17,Escogidos para salvación,"conforte vuestros corazones, y os confirme en toda buena palabra y obra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=2&version=rv60
2-tesalonicenses,3,1,Que la palabra de Dios sea glorificada,"Por lo demás, hermanos, orad por nosotros, para que la palabra del Señor corra y sea glorificada, así como lo fue entre vosotros,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,2,Que la palabra de Dios sea glorificada,y para que seamos librados de hombres perversos y malos; porque no es de todos la fe.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,3,Que la palabra de Dios sea glorificada,"Pero fiel es el Señor, que os afirmará y guardará del mal.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,4,Que la palabra de Dios sea glorificada,"Y tenemos confianza respecto a vosotros en el Señor, en que hacéis y haréis lo que os hemos mandado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,5,Que la palabra de Dios sea glorificada,"Y el Señor encamine vuestros corazones al amor de Dios, y a la paciencia de Cristo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,6,El deber de trabajar,"Pero os ordenamos, hermanos, en el nombre de nuestro Señor Jesucristo, que os apartéis de todo hermano que ande desordenadamente, y no según la enseñanza que recibisteis de nosotros.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,7,El deber de trabajar,"Porque vosotros mismos sabéis de qué manera debéis imitarnos; pues nosotros no anduvimos desordenadamente entre vosotros,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,8,El deber de trabajar,"ni comimos de balde el pan de nadie, sino que trabajamos con afán y fatiga día y noche, para no ser gravosos a ninguno de vosotros;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,9,El deber de trabajar,"no porque no tuviésemos derecho, sino por daros nosotros mismos un ejemplo para que nos imitaseis.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,10,El deber de trabajar,"Porque también cuando estábamos con vosotros, os ordenábamos esto: Si alguno no quiere trabajar, tampoco coma.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,11,El deber de trabajar,"Porque oímos que algunos de entre vosotros andan desordenadamente, no trabajando en nada, sino entremetiéndose en lo ajeno.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,12,El deber de trabajar,"A los tales mandamos y exhortamos por nuestro Señor Jesucristo, que trabajando sosegadamente, coman su propio pan.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,13,El deber de trabajar,"Y vosotros, hermanos, no os canséis de hacer bien.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,14,El deber de trabajar,"Si alguno no obedece a lo que decimos por medio de esta carta, a ése señaladlo, y no os juntéis con él, para que se avergüence.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,15,El deber de trabajar,"Mas no lo tengáis por enemigo, sino amonestadle como a hermano.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,16,Bendición final,Y el mismo Señor de paz os dé siempre paz en toda manera. El Señor sea con todos vosotros.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,17,Bendición final,"La salutación es de mi propia mano, de Pablo, que es el signo en toda carta mía; así escribo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
2-tesalonicenses,3,18,Bendición final,La gracia de nuestro Señor Jesucristo sea con todos vosotros. Amén.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-tesalonicenses&capitulo=3&version=rv60
