book,chapter,verse,subtitle,text,source_url
1-timoteo,1,1,Salutación,"Pablo, apóstol de Jesucristo por mandato de Dios nuestro Salvador, y del Señor Jesucristo nuestra esperanza,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,2,Salutación,"a Timoteo, verdadero hijo en la fe: Gracia, misericordia y paz, de Dios nuestro Padre y de Cristo Jesús nuestro Señor.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,3,Advertencia contra falsas doctrinas,"Como te rogué que te quedases en Efeso, cuando fui a Macedonia, para que mandases a algunos que no enseñen diferente doctrina,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,4,Advertencia contra falsas doctrinas,"ni presten atención a fábulas y genealogías interminables, que acarrean disputas más bien que edificación de Dios que es por fe, así te encargo ahora.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,5,Advertencia contra falsas doctrinas,"Pues el propósito de este mandamiento es el amor nacido de corazón limpio, y de buena conciencia, y de fe no fingida,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,6,Advertencia contra falsas doctrinas,"de las cuales cosas desviándose algunos, se apartaron a vana palabrería,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,7,Advertencia contra falsas doctrinas,"queriendo ser doctores de la ley, sin entender ni lo que hablan ni lo que afirman.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,8,Advertencia contra falsas doctrinas,"Pero sabemos que la ley es buena, si uno la usa legítimamente;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,9,Advertencia contra falsas doctrinas,"conociendo esto, que la ley no fue dada para el justo, sino para los transgresores y desobedientes, para los impíos y pecadores, para los irreverentes y profanos, para los parricidas y matricidas, para los homicidas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,10,Advertencia contra falsas doctrinas,"para los fornicarios, para los sodomitas, para los secuestradores, para los mentirosos y perjuros, y para cuanto se oponga a la sana doctrina,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,11,Advertencia contra falsas doctrinas,"según el glorioso evangelio del Dios bendito, que a mí me ha sido encomendado.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,12,El ministerio de Pablo,"Doy gracias al que me fortaleció, a Cristo Jesús nuestro Señor, porque me tuvo por fiel, poniéndome en el ministerio,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,13,El ministerio de Pablo,"habiendo yo sido antes blasfemo, perseguidor e injuriador; mas fui recibido a misericordia porque lo hice por ignorancia, en incredulidad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,14,El ministerio de Pablo,Pero la gracia de nuestro Señor fue más abundante con la fe y el amor que es en Cristo Jesús.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,15,El ministerio de Pablo,"Palabra fiel y digna de ser recibida por todos: que Cristo Jesús vino al mundo para salvar a los pecadores, de los cuales yo soy el primero.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,16,El ministerio de Pablo,"Pero por esto fui recibido a misericordia, para que Jesucristo mostrase en mí el primero toda su clemencia, para ejemplo de los que habrían de creer en él para vida eterna.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,17,El ministerio de Pablo,"Por tanto, al Rey de los siglos, inmortal, invisible, al único y sabio Dios, sea honor y gloria por los siglos de los siglos. Amén.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,18,El ministerio de Pablo,"Este mandamiento, hijo Timoteo, te encargo, para que conforme a las profecías que se hicieron antes en cuanto a ti, milites por ellas la buena milicia,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,19,El ministerio de Pablo,"manteniendo la fe y buena conciencia, desechando la cual naufragaron en cuanto a la fe algunos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,1,20,El ministerio de Pablo,"de los cuales son Himeneo y Alejandro, a quienes entregué a Satanás para que aprendan a no blasfemar.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60
1-timoteo,2,1,Instrucciones sobre la oración,"Exhorto ante todo, a que se hagan rogativas, oraciones, peticiones y acciones de gracias, por todos los hombres;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,2,Instrucciones sobre la oración,"por los reyes y por todos los que están en eminencia, para que vivamos quieta y reposadamente en toda piedad y honestidad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,3,Instrucciones sobre la oración,"Porque esto es bueno y agradable delante de Dios nuestro Salvador,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,4,Instrucciones sobre la oración,el cual quiere que todos los hombres sean salvos y vengan al conocimiento de la verdad.,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,5,Instrucciones sobre la oración,"Porque hay un solo Dios, y un solo mediador entre Dios y los hombres, Jesucristo hombre,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,6,Instrucciones sobre la oración,"el cual se dio a sí mismo en rescate por todos, de lo cual se dio testimonio a su debido tiempo.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,7,Instrucciones sobre la oración,"Para esto yo fui constituido predicador y apóstol (digo verdad en Cristo, no miento), y maestro de los gentiles en fe y verdad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,8,Instrucciones sobre la oración,"Quiero, pues, que los hombres oren en todo lugar, levantando manos santas, sin ira ni contienda.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,9,Instrucciones sobre la oración,"Asimismo que las mujeres se atavíen de ropa decorosa, con pudor y modestia; no con peinado ostentoso, ni oro, ni perlas, ni vestidos costosos,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,10,Instrucciones sobre la oración,"sino con buenas obras, como corresponde a mujeres que profesan piedad.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
1-timoteo,2,11,Instrucciones sobre la oración,"La mujer aprenda en silencio, con toda sujeción.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=2&version=rv60
