book,chapter,verse,subtitle,text,source_url
tito,1,1,Salutación,"Pablo, siervo de Dios y apóstol de Jesucristo, conforme a la fe de los escogidos de Dios y el conocimiento de la verdad que es según la piedad, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,2,Salutación,"en la esperanza de la vida eterna, la cual Dios, que no miente, prometió desde antes del principio de los siglos, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,3,Salutación,"y a su debido tiempo manifestó su palabra por medio de la predicación que me fue encomendada por mandato de Dios nuestro Salvador, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,4,Salutación,"a Tito, verdadero hijo en la común fe: Gracia, misericordia y paz, de Dios Padre y del Señor Jesucristo nuestro Salvador. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,5,Requisitos de ancianos y obispos,"Por esta causa te dejé en Creta, para que corrigieses lo deficiente, y establecieses ancianos en cada ciudad, así como yo te mandé; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,6,Requisitos de ancianos y obispos,"el que fuere irreprensible, marido de una sola mujer, y tenga hijos creyentes que no estén acusados de disolución ni de rebeldía. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,7,Requisitos de ancianos y obispos,"Porque es necesario que el obispo sea irreprensible, como administrador de Dios; no soberbio, no iracundo, no dado al vino, no pendenciero, no codicioso de ganancias deshonestas, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,8,Requisitos de ancianos y obispos,"sino hospedador, amante de lo bueno, sobrio, justo, santo, dueño de sí mismo, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,9,Requisitos de ancianos y obispos,"retenedor de la palabra fiel tal como ha sido enseñada, para que también pueda exhortar con sana enseñanza y convencer a los que contradicen. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,10,Requisitos de ancianos y obispos,"Porque hay aún muchos contumaces, habladores de vanidades y engañadores, mayormente los de la circuncisión, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,11,Requisitos de ancianos y obispos,"a los cuales es preciso tapar la boca; que trastornan casas enteras, enseñando por ganancia deshonesta lo que no conviene. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,12,Requisitos de ancianos y obispos,"Uno de ellos, su propio profeta, dijo: Los cretenses, siempre mentirosos, malas bestias, glotones ociosos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,13,Requisitos de ancianos y obispos,"Este testimonio es verdadero; por tanto, repréndelos duramente, para que sean sanos en la fe, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,14,Requisitos de ancianos y obispos,"no atendiendo a fábulas judaicas, ni a mandamientos de hombres que se apartan de la verdad. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,15,Requisitos de ancianos y obispos,"Todas las cosas son puras para los puros, mas para los corrompidos e incrédulos nada les es puro; pues hasta su mente y su conciencia están corrompidas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,1,16,Requisitos de ancianos y obispos,"Profesan conocer a Dios, pero con los hechos lo niegan, siendo abominables y rebeldes, reprobados en cuanto a toda buena obra. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=1&version=rv60
tito,2,1,Enseñanza de la sana doctrina,Pero tú habla lo que está de acuerdo con la sana doctrina. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=tito&capitulo=2&version=rv60
