book,chapter,verse,subtitle,text,source_url
filemon,1,1,Salutación,"Pablo, prisionero de Jesucristo, y el hermano Timoteo, al amado Filemón, colaborador nuestro, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,2,Salutación,"y a la amada hermana Apia, y a Arquipo nuestro compañero de milicia, y a la iglesia que está en tu casa: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,3,Salutación,"Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,4,El amor y la fe de Filemón,"Doy gracias a mi Dios, haciendo siempre memoria de ti en mis oraciones, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,5,El amor y la fe de Filemón,"porque oigo del amor y de la fe que tienes hacia el Señor Jesús, y para con todos los santos; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,6,El amor y la fe de Filemón,para que la participación de tu fe sea eficaz en el conocimiento de todo el bien que está en vosotros por Cristo Jesús. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,7,El amor y la fe de Filemón,"Pues tenemos gran gozo y consolación en tu amor, porque por ti, oh hermano, han sido confortados los corazones de los santos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,8,Pablo intercede por Onésimo,"Por lo cual, aunque tengo mucha libertad en Cristo para mandarte lo que conviene, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,9,Pablo intercede por Onésimo,"más bien te ruego por amor, siendo como soy, Pablo ya anciano, y ahora, además, prisionero de Jesucristo; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,10,Pablo intercede por Onésimo,"te ruego por mi hijo Onésimo, a quien engendré en mis prisiones, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,11,Pablo intercede por Onésimo,"el cual en otro tiempo te fue inútil, pero ahora a ti y a mí nos es útil, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,12,Pablo intercede por Onésimo,"el cual vuelvo a enviarte; tú, pues, recíbele como a mí mismo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,13,Pablo intercede por Onésimo,"Yo quisiera retenerle conmigo, para que en lugar tuyo me sirviese en mis prisiones por el evangelio; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,14,Pablo intercede por Onésimo,"pero nada quise hacer sin tu consentimiento, para que tu favor no fuese como de necesidad, sino voluntario. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,15,Pablo intercede por Onésimo,"Porque quizás para esto se apartó de ti por algún tiempo, para que le recibieses para siempre; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,16,Pablo intercede por Onésimo,"no ya como esclavo, sino como más que esclavo, como hermano amado, mayormente para mí, pero cuánto más para ti, tanto en la carne como en el Señor. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,17,Pablo intercede por Onésimo,"Así que, si me tienes por compañero, recíbele como a mí mismo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,18,Pablo intercede por Onésimo,"Y si en algo te dañó, o te debe, ponlo a mi cuenta. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,19,Pablo intercede por Onésimo,"Yo Pablo lo escribo de mi mano, yo lo pagaré; por no decirte que aun tú mismo te me debes también. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,20,Pablo intercede por Onésimo,"Sí, hermano, tenga yo algún provecho de ti en el Señor; conforta mi corazón en el Señor. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,21,Pablo intercede por Onésimo,"Te he escrito confiando en tu obediencia, sabiendo que harás aun más de lo que te digo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,22,Pablo intercede por Onésimo,Prepárame también alojamiento; porque espero que por vuestras oraciones os seré concedido. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,23,Salutaciones y bendición final,"Te saludan Epafras, mi compañero de prisiones por Cristo Jesús, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,24,Salutaciones y bendición final,"Marcos, Aristarco, Demas y Lucas, mis colaboradores. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
filemon,1,25,Salutaciones y bendición final,La gracia de nuestro Señor Jesucristo sea con vuestro espíritu. Amén. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60
