book,chapter,verse,subtitle,text,source_url
hebreos,1,1,Dios ha hablado por su Hijo,"Dios, habiendo hablado muchas veces y de muchas maneras en otro tiempo a los padres por los profetas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,2,Dios ha hablado por su Hijo,"en estos postreros días nos ha hablado por el Hijo, a quien constituyó heredero de todo, y por quien asimismo hizo el universo;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,3,Dios ha hablado por su Hijo,"el cual, siendo el resplandor de su gloria, y la imagen misma de su sustancia, y quien sustenta todas las cosas con la palabra de su poder, habiendo efectuado la purificación de nuestros pecados por medio de sí mismo, se sentó a la diestra de la Majestad en las alturas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,4,Dios ha hablado por su Hijo,"hecho tanto superior a los ángeles, cuanto heredó más excelente nombre que ellos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,5,"El Hijo, superior a los ángeles","Porque ¿a cuál de los ángeles dijo Dios jamás:
Mi Hijo eres tú,
Yo te he engendrado hoy,
y otra vez:
Yo seré a él Padre,
Y él me será a mí hijo?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,6,"El Hijo, superior a los ángeles","Y otra vez, cuando introduce al Primogénito en el mundo, dice:
Adórenle todos los ángeles de Dios.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,7,"El Hijo, superior a los ángeles","Ciertamente de los ángeles dice:
El que hace a sus ángeles espíritus,
Y a sus ministros llama de fuego.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,8,"El Hijo, superior a los ángeles","Mas del Hijo dice:
Tu trono, oh Dios, por el siglo del siglo;
Cetro de equidad es el cetro de tu reino.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,9,"El Hijo, superior a los ángeles","Has amado la justicia, y aborrecido la maldad,
Por lo cual te ungió Dios, el Dios tuyo,
Con óleo de alegría más que a tus compañeros.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,10,"El Hijo, superior a los ángeles","Y:
Tú, oh Señor, en el principio fundaste la tierra,
Y los cielos son obra de tus manos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,11,"El Hijo, superior a los ángeles","Ellos perecerán, mas tú permaneces;
Y todos ellos se envejecerán como una vestidura,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
hebreos,1,12,"El Hijo, superior a los ángeles","Y como un vestido los envolverás, y serán mudados;
Pero tú eres el mismo, Y tus años no acabarán.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60
