book,chapter,verse,subtitle,text,source_url
deuteronomio,1,1,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Estas son las palabras que habló Moisés a todo Israel a este lado del Jordán en el desierto, en el Arabá frente al Mar Rojo, entre Parán, Tofel, Labán, Hazerot y Dizahab. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,2,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Once jornadas hay desde Horeb, camino del monte de Seir, hasta Cades-barnea. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,3,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Y aconteció que a los cuarenta años, en el mes undécimo, el primero del mes, Moisés habló a los hijos de Israel conforme a todas las cosas que Jehová le había mandado acerca de ellos, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,4,Moisés recuerda a Israel las promesas de Jehová en Horeb,"después que derrotó a Sehón rey de los amorreos, el cual habitaba en Hesbón, y a Og rey de Basán que habitaba en Astarot en Edrei. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,5,Moisés recuerda a Israel las promesas de Jehová en Horeb,"De este lado del Jordán, en tierra de Moab, resolvió Moisés declarar esta ley, diciendo: ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,6,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Jehová nuestro Dios nos habló en Horeb, diciendo: Habéis estado bastante tiempo en este monte. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,7,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Volveos e id al monte del amorreo y a todas sus comarcas, en el Arabá, en el monte, en los valles, en el Neguev, y junto a la costa del mar, a la tierra del cananeo, y al Líbano, hasta el gran río, el río Eufrates. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,8,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Mirad, yo os he entregado la tierra; entrad y poseed la tierra que Jehová juró a vuestros padres Abraham, Isaac y Jacob, que les daría a ellos y a su descendencia después de ellos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,9,Nombramiento de jueces,En aquel tiempo yo os hablé diciendo: Yo solo no puedo llevaros. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,10,Nombramiento de jueces,"Jehová vuestro Dios os ha multiplicado, y he aquí hoy vosotros sois como las estrellas del cielo en multitud. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,11,Nombramiento de jueces,"¡Jehová Dios de vuestros padres os haga mil veces más de lo que ahora sois, y os bendiga, como os ha prometido! ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,12,Nombramiento de jueces,"¿Cómo llevaré yo solo vuestras molestias, vuestras cargas y vuestros pleitos? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,13,Nombramiento de jueces,"Dadme de entre vosotros, de vuestras tribus, varones sabios y entendidos y expertos, para que yo los ponga por vuestros jefes. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,14,Nombramiento de jueces,Y me respondisteis y dijisteis: Bueno es hacer lo que has dicho. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,15,Nombramiento de jueces,"Y tomé a los principales de vuestras tribus, varones sabios y expertos, y los puse por jefes sobre vosotros, jefes de millares, de centenas, de cincuenta y de diez, y gobernadores de vuestras tribus. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,16,Nombramiento de jueces,"Y entonces mandé a vuestros jueces, diciendo: Oíd entre vuestros hermanos, y juzgad justamente entre el hombre y su hermano, y el extranjero. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,17,Nombramiento de jueces,"No hagáis distinción de persona en el juicio; así al pequeño como al grande oiréis; no tendréis temor de ninguno, porque el juicio es de Dios; y la causa que os fuere difícil, la traeréis a mí, y yo la oiré. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
deuteronomio,1,18,Nombramiento de jueces,"Os mandé, pues, en aquel tiempo, todo lo que habíais de hacer. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60
