book,chapter,verse,subtitle,text,source_url
1-samuel,1,1,Nacimiento de Samuel,"Hubo un varón de Ramataim de Zofim, del monte de Efraín, que se llamaba Elcana hijo de Jeroham, hijo de Eliú, hijo de Tohu, hijo de Zuf, efrateo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,2,Nacimiento de Samuel,"Y tenía él dos mujeres; el nombre de una era Ana, y el de la otra, Penina. Y Penina tenía hijos, mas Ana no los tenía. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,3,Nacimiento de Samuel,"Y todos los años aquel varón subía de su ciudad para adorar y para ofrecer sacrificios a Jehová de los ejércitos en Silo, donde estaban dos hijos de Elí, Ofni y Finees, sacerdotes de Jehová. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,4,Nacimiento de Samuel,"Y cuando llegaba el día en que Elcana ofrecía sacrificio, daba a Penina su mujer, a todos sus hijos y a todas sus hijas, a cada uno su parte. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,5,Nacimiento de Samuel,"Pero a Ana daba una parte escogida; porque amaba a Ana, aunque Jehová no le había concedido tener hijos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,6,Nacimiento de Samuel,"Y su rival la irritaba, enojándola y entristeciéndola, porque Jehová no le había concedido tener hijos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,7,Nacimiento de Samuel,"Así hacía cada año; cuando subía a la casa de Jehová, la irritaba así; por lo cual Ana lloraba, y no comía. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,8,Nacimiento de Samuel,"Y Elcana su marido le dijo: Ana, ¿por qué lloras? ¿por qué no comes? ¿y por qué está afligido tu corazón? ¿No te soy yo mejor que diez hijos? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,9,Nacimiento de Samuel,"Y se levantó Ana después que hubo comido y bebido en Silo; y mientras el sacerdote Elí estaba sentado en una silla junto a un pilar del templo de Jehová, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,10,Nacimiento de Samuel,"ella con amargura de alma oró a Jehová, y lloró abundantemente. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,11,Nacimiento de Samuel,"E hizo voto, diciendo: Jehová de los ejércitos, si te dignares mirar a la aflicción de tu sierva, y te acordares de mí, y no te olvidares de tu sierva, sino que dieres a tu sierva un hijo varón, yo lo dedicaré a Jehová todos los días de su vida, y no pasará navaja sobre su cabeza. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,12,Nacimiento de Samuel,"Mientras ella oraba largamente delante de Jehová, Elí estaba observando la boca de ella. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,13,Nacimiento de Samuel,"Pero Ana hablaba en su corazón, y solamente se movían sus labios, y su voz no se oía; y Elí la tuvo por ebria. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,14,Nacimiento de Samuel,Entonces le dijo Elí: ¿Hasta cuándo estarás ebria? Digiere tu vino. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,15,Nacimiento de Samuel,"Y Ana le respondió diciendo: No, señor mío; yo soy una mujer atribulada de espíritu; no he bebido vino ni sidra, sino que he derramado mi alma delante de Jehová. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,16,Nacimiento de Samuel,No tengas a tu sierva por una mujer impía; porque por la magnitud de mis congojas y de mi aflicción he hablado hasta ahora. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,17,Nacimiento de Samuel,"Elí respondió y dijo: Ve en paz, y el Dios de Israel te otorgue la petición que le has hecho. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
1-samuel,1,18,Nacimiento de Samuel,"Y ella dijo: Halle tu sierva gracia delante de tus ojos. Y se fue la mujer por su camino, y comió, y no estuvo más triste. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-samuel&capitulo=1&version=rv60
